Id	Name	BuffId[1]	BuffId[2]	BuffId[3]	BuffId[4]	BuffId[5]	BuffId[6]	BuffId[7]	BuffId[8]	BuffId[9]	BuffId[10]	BuffId[11]	BuffId[12]	BuffId[13]	BuffId[14]	Weight[1]	Weight[2]	Weight[3]	Weight[4]	Weight[5]	Weight[6]	Weight[7]	Weight[8]	Weight[9]	Weight[10]	Weight[11]	Weight[12]	Weight[13]	Weight[14]
100	Buff - Attacker	760131	760341	760431	760451	760471	760491									100	100	100	100	100	100								
200	Buff - Defender	760221	760241	760271	760351	760261										100	100	100	100	100									
300	Buff - Special	760311	760321	760331	760361	760371	760391	760411								100	100	100	100	100	100	100							
400	Debuff	760061	760071	760081	760091	760101	760111	760121								100	100	100	100	100	100	100							
500	Train Fire Weakness	760003														100													
501	Train Lightning Weakness	760013														100													
502	Train Lightning or Dark Weakness	760011	760031													100	100												
503	Train Enemy Buff	760261	760291	760301	760311	760321	760341	760411	760371	760351	760640					100	100	100	100	100	100	100	100	100	100				
504	Enhanced Ship Monsters	760291	760341	760411	760371	760640	760211	760251								100	100	100	100	100	100	100							
505	Ice Fortress	760023														100													
