Id	StageId	ChallengeId	NpcId[1]	NpcLevel[1]	NpcId[2]	NpcLevel[2]	NpcId[3]	NpcLevel[3]	NpcId[4]	NpcLevel[4]	NpcId[5]	NpcLevel[5]	NpcId[6]	NpcLevel[6]	NpcId[7]	NpcLevel[7]	NpcId[8]	NpcLevel[8]	NpcId[9]	NpcLevel[9]	NpcId[10]	NpcLevel[10]	NpcId[11]	NpcLevel[11]	NpcId[12]	NpcLevel[12]	NpcId[13]	NpcLevel[13]	NpcId[14]	NpcLevel[14]	NpcId[15]	NpcLevel[15]	NpcId[16]	NpcLevel[16]	NpcId[17]	NpcLevel[17]	NpcId[18]	NpcLevel[18]	NpcId[19]	NpcLevel[19]	NpcId[20]	NpcLevel[20]	NpcId[21]	NpcLevel[21]	NpcId[22]	NpcLevel[22]	NpcId[23]	NpcLevel[23]	NpcId[24]	NpcLevel[24]	NpcId[25]	NpcLevel[25]	NpcId[26]	NpcLevel[26]	NpcId[27]	NpcLevel[27]	NpcId[28]	NpcLevel[28]	NpcId[29]	NpcLevel[29]	NpcId[30]	NpcLevel[30]	NpcId[31]	NpcLevel[31]	NpcId[32]	NpcLevel[32]	NpcId[33]	NpcLevel[33]	NpcId[34]	NpcLevel[34]	NpcId[35]	NpcLevel[35]	NpcId[36]	NpcLevel[36]	NpcId[37]	NpcLevel[37]	NpcId[38]	NpcLevel[38]	NpcId[39]	NpcLevel[39]	NpcId[40]	NpcLevel[40]	NpcId[41]	NpcLevel[41]	NpcId[42]	NpcLevel[42]	NpcId[43]	NpcLevel[43]	NpcId[44]	NpcLevel[44]
1	30080101	1	92030	39	92090	39	92100	39	92150	39	92160	39	91030	39	91090	39	91100	39	91110	39	91120	39	91150	39	91160	39	91170	39	91180	39	91210	39	90170	66	90180	66	90210	66	90250	66	90260	66	90330	66	90340	66	90350	66	90360	66	90370	66	90410	66	90440	66	90400	66	90430	66	90420	66	81200	69	81500	69	90030	66	90100	66	90120	66	90150	66	90090	66	90110	66	90160	66	90220	66	90600	66	90610	66	90620	66	81300	69
2	30080101	4	92030	60	92090	60	92100	60	92150	60	92160	60	91030	60	91090	60	91100	60	91110	60	91120	60	91150	60	91160	60	91170	60	91180	60	91210	60	90170	79	90180	79	90210	79	90250	79	90260	79	90330	79	90340	79	90350	79	90360	79	90370	79	90410	79	90440	79	90400	79	90430	79	90420	79	81200	82	81500	82	90030	79	90100	79	90120	79	90150	79	90090	79	90110	79	90160	79	90220	79	90600	79	90610	79	90620	79	81300	82
3	30080101	7	92030	68	92090	68	92100	68	92150	68	92160	68	91030	68	91090	68	91100	68	91110	68	91120	68	91150	68	91160	68	91170	68	91180	68	91210	68	90170	90	90180	90	90210	90	90250	90	90260	90	90330	90	90340	90	90350	90	90360	90	90370	90	90410	90	90440	90	90400	90	90430	90	90420	90	81200	94	81500	94	90030	90	90100	90	90120	90	90150	90	90090	90	90110	90	90160	90	90220	90	90600	90	90610	90	90620	90	81300	94
4	30080101	10	92030	76	92090	76	92100	76	92150	76	92160	76	91030	76	91090	76	91100	76	91110	76	91120	76	91150	76	91160	76	91170	76	91180	76	91210	76	90170	100	90180	100	90210	100	90250	100	90260	100	90330	100	90340	100	90350	100	90360	100	90370	100	90410	100	90440	100	90400	100	90430	100	90420	100	81200	104	81500	104	90030	100	90100	100	90120	100	90150	100	90090	100	90110	100	90160	100	90220	100	90600	100	90610	100	90620	100	81300	104
5	30080101	13	92030	83	92090	83	92100	83	92150	83	92160	83	91030	83	91090	83	91100	83	91110	83	91120	83	91150	83	91160	83	91170	83	91180	83	91210	83	90170	110	90180	110	90210	110	90250	110	90260	110	90330	110	90340	110	90350	110	90360	110	90370	110	90410	110	90440	110	90400	110	90430	110	90420	110	81200	114	81500	114	90030	110	90100	110	90120	110	90150	110	90090	110	90110	110	90160	110	90220	110	90600	110	90610	110	90620	110	81300	114
6	30080101	2	92030	102	92090	102	92100	102	92150	102	92160	102	91030	102	91090	102	91100	102	91110	102	91120	102	91150	102	91160	102	91170	102	91180	102	91210	102	90170	135	90180	135	90210	135	90250	135	90260	135	90330	135	90340	135	90350	135	90360	135	90370	135	90410	135	90440	135	90400	135	90430	135	90420	135	81200	141	81500	141	90030	135	90100	135	90120	135	90150	135	90090	135	90110	135	90160	135	90220	135	90600	135	90610	135	90620	135	81300	141
7	30080101	5	92030	119	92090	119	92100	119	92150	119	92160	119	91030	119	91090	119	91100	119	91110	119	91120	119	91150	119	91160	119	91170	119	91180	119	91210	119	90170	158	90180	158	90210	158	90250	158	90260	158	90330	158	90340	158	90350	158	90360	158	90370	158	90410	158	90440	158	90400	158	90430	158	90420	158	81200	165	81500	165	90030	158	90100	158	90120	158	90150	158	90090	158	90110	158	90160	158	90220	158	90600	158	90610	158	90620	158	81300	165
8	30080101	8	92030	141	92090	141	92100	141	92150	141	92160	141	91030	141	91090	141	91100	141	91110	141	91120	141	91150	141	91160	141	91170	141	91180	141	91210	141	90170	187	90180	187	90210	187	90250	187	90260	187	90330	187	90340	187	90350	187	90360	187	90370	187	90410	187	90440	187	90400	187	90430	187	90420	187	81200	195	81500	195	90030	187	90100	187	90120	187	90150	187	90090	187	90110	187	90160	187	90220	187	90600	187	90610	187	90620	187	81300	195
9	30080101	11	92030	159	92090	159	92100	159	92150	159	92160	159	91030	159	91090	159	91100	159	91110	159	91120	159	91150	159	91160	159	91170	159	91180	159	91210	159	90170	211	90180	211	90210	211	90250	211	90260	211	90330	211	90340	211	90350	211	90360	211	90370	211	90410	211	90440	211	90400	211	90430	211	90420	211	81200	220	81500	220	90030	211	90100	211	90120	211	90150	211	90090	211	90110	211	90160	211	90220	211	90600	211	90610	211	90620	211	81300	220
10	30080101	14	92030	174	92090	174	92100	174	92150	174	92160	174	91030	174	91090	174	91100	174	91110	174	91120	174	91150	174	91160	174	91170	174	91180	174	91210	174	90170	232	90180	232	90210	232	90250	232	90260	232	90330	232	90340	232	90350	232	90360	232	90370	232	90410	232	90440	232	90400	232	90430	232	90420	232	81200	241	81500	241	90030	232	90100	232	90120	232	90150	232	90090	232	90110	232	90160	232	90220	232	90600	232	90610	232	90620	232	81300	241
11	30080101	3	92030	156	92090	156	92100	156	92150	156	92160	156	91030	156	91090	156	91100	156	91110	156	91120	156	91150	156	91160	156	91170	156	91180	156	91210	156	90170	208	90180	208	90210	208	90250	208	90260	208	90330	208	90340	208	90350	208	90360	208	90370	208	90410	208	90440	208	90400	208	90430	208	90420	208	81200	216	81500	216	90030	208	90100	208	90120	208	90150	208	90090	208	90110	208	90160	208	90220	208	90600	208	90610	208	90620	208	81300	216
12	30080101	6	92030	179	92090	179	92100	179	92150	179	92160	179	91030	179	91090	179	91100	179	91110	179	91120	179	91150	179	91160	179	91170	179	91180	179	91210	179	90170	238	90180	238	90210	238	90250	238	90260	238	90330	238	90340	238	90350	238	90360	238	90370	238	90410	238	90440	238	90400	238	90430	238	90420	238	81200	248	81500	248	90030	238	90100	238	90120	238	90150	238	90090	238	90110	238	90160	238	90220	238	90600	238	90610	238	90620	238	81300	248
13	30080101	9	92030	223	92090	223	92100	223	92150	223	92160	223	91030	223	91090	223	91100	223	91110	223	91120	223	91150	223	91160	223	91170	223	91180	223	91210	223	90170	296	90180	296	90210	296	90250	296	90260	296	90330	296	90340	296	90350	296	90360	296	90370	296	90410	296	90440	296	90400	296	90430	296	90420	296	81200	308	81500	308	90030	296	90100	296	90120	296	90150	296	90090	296	90110	296	90160	296	90220	296	90600	296	90610	296	90620	296	81300	308
14	30080101	12	92030	239	92090	239	92100	239	92150	239	92160	239	91030	239	91090	239	91100	239	91110	239	91120	239	91150	239	91160	239	91170	239	91180	239	91210	239	90170	318	90180	318	90210	318	90250	318	90260	318	90330	318	90340	318	90350	318	90360	318	90370	318	90410	318	90440	318	90400	318	90430	318	90420	318	81200	331	81500	331	90030	318	90100	318	90120	318	90150	318	90090	318	90110	318	90160	318	90220	318	90600	318	90610	318	90620	318	81300	331
15	30080101	15	92030	253	92090	253	92100	253	92150	253	92160	253	91030	253	91090	253	91100	253	91110	253	91120	253	91150	253	91160	253	91170	253	91180	253	91210	253	90170	337	90180	337	90210	337	90250	337	90260	337	90330	337	90340	337	90350	337	90360	337	90370	337	90410	337	90440	337	90400	337	90430	337	90420	337	81200	351	81500	351	90030	337	90100	337	90120	337	90150	337	90090	337	90110	337	90160	337	90220	337	90600	337	90610	337	90620	337	81300	351
16	30080102	1	92030	39	92090	39	92100	39	92150	39	92160	39	91030	39	91090	39	91100	39	91110	39	91120	39	91150	39	91160	39	91170	39	91180	39	91210	39	90170	66	90180	66	90210	66	90250	66	90260	66	90330	66	90340	66	90350	66	90360	66	90370	66	90410	66	90440	66	90400	66	90430	66	90420	66	81200	69	81500	69	90030	66	90100	66	90120	66	90150	66	90090	66	90110	66	90160	66	90220	66	90600	66	90610	66	90620	66	81300	69
17	30080102	4	92030	60	92090	60	92100	60	92150	60	92160	60	91030	60	91090	60	91100	60	91110	60	91120	60	91150	60	91160	60	91170	60	91180	60	91210	60	90170	79	90180	79	90210	79	90250	79	90260	79	90330	79	90340	79	90350	79	90360	79	90370	79	90410	79	90440	79	90400	79	90430	79	90420	79	81200	82	81500	82	90030	79	90100	79	90120	79	90150	79	90090	79	90110	79	90160	79	90220	79	90600	79	90610	79	90620	79	81300	82
18	30080102	7	92030	79	92090	79	92100	79	92150	79	92160	79	91030	79	91090	79	91100	79	91110	79	91120	79	91150	79	91160	79	91170	79	91180	79	91210	79	90170	105	90180	105	90210	105	90250	105	90260	105	90330	105	90340	105	90350	105	90360	105	90370	105	90410	105	90440	105	90400	105	90430	105	90420	105	81200	109	81500	109	90030	105	90100	105	90120	105	90150	105	90090	105	90110	105	90160	105	90220	105	90600	105	90610	105	90620	105	81300	109
19	30080102	10	92030	88	92090	88	92100	88	92150	88	92160	88	91030	88	91090	88	91100	88	91110	88	91120	88	91150	88	91160	88	91170	88	91180	88	91210	88	90170	116	90180	116	90210	116	90250	116	90260	116	90330	116	90340	116	90350	116	90360	116	90370	116	90410	116	90440	116	90400	116	90430	116	90420	116	81200	121	81500	121	90030	116	90100	116	90120	116	90150	116	90090	116	90110	116	90160	116	90220	116	90600	116	90610	116	90620	116	81300	121
20	30080102	13	92030	95	92090	95	92100	95	92150	95	92160	95	91030	95	91090	95	91100	95	91110	95	91120	95	91150	95	91160	95	91170	95	91180	95	91210	95	90170	126	90180	126	90210	126	90250	126	90260	126	90330	126	90340	126	90350	126	90360	126	90370	126	90410	126	90440	126	90400	126	90430	126	90420	126	81200	132	81500	132	90030	126	90100	126	90120	126	90150	126	90090	126	90110	126	90160	126	90220	126	90600	126	90610	126	90620	126	81300	132
21	30080102	2	92030	102	92090	102	92100	102	92150	102	92160	102	91030	102	91090	102	91100	102	91110	102	91120	102	91150	102	91160	102	91170	102	91180	102	91210	102	90170	135	90180	135	90210	135	90250	135	90260	135	90330	135	90340	135	90350	135	90360	135	90370	135	90410	135	90440	135	90400	135	90430	135	90420	135	81200	141	81500	141	90030	135	90100	135	90120	135	90150	135	90090	135	90110	135	90160	135	90220	135	90600	135	90610	135	90620	135	81300	141
22	30080102	5	92030	119	92090	119	92100	119	92150	119	92160	119	91030	119	91090	119	91100	119	91110	119	91120	119	91150	119	91160	119	91170	119	91180	119	91210	119	90170	158	90180	158	90210	158	90250	158	90260	158	90330	158	90340	158	90350	158	90360	158	90370	158	90410	158	90440	158	90400	158	90430	158	90420	158	81200	165	81500	165	90030	158	90100	158	90120	158	90150	158	90090	158	90110	158	90160	158	90220	158	90600	158	90610	158	90620	158	81300	165
23	30080102	8	92030	141	92090	141	92100	141	92150	141	92160	141	91030	141	91090	141	91100	141	91110	141	91120	141	91150	141	91160	141	91170	141	91180	141	91210	141	90170	187	90180	187	90210	187	90250	187	90260	187	90330	187	90340	187	90350	187	90360	187	90370	187	90410	187	90440	187	90400	187	90430	187	90420	187	81200	195	81500	195	90030	187	90100	187	90120	187	90150	187	90090	187	90110	187	90160	187	90220	187	90600	187	90610	187	90620	187	81300	195
24	30080102	11	92030	159	92090	159	92100	159	92150	159	92160	159	91030	159	91090	159	91100	159	91110	159	91120	159	91150	159	91160	159	91170	159	91180	159	91210	159	90170	211	90180	211	90210	211	90250	211	90260	211	90330	211	90340	211	90350	211	90360	211	90370	211	90410	211	90440	211	90400	211	90430	211	90420	211	81200	220	81500	220	90030	211	90100	211	90120	211	90150	211	90090	211	90110	211	90160	211	90220	211	90600	211	90610	211	90620	211	81300	220
