Id	TypeId[1]	TypeId[2]	TypeId[3]	TypeId[4]	TypeId[5]	TypeId[6]	TypeId[7]	TypeId[8]	TypeId[9]	TypeId[10]	AffixGroupId
1	300	-1	200	-1	-1						2
2	300	200	-1	-1	-1	-1	-1				1
3	300	-1	-1								4
4	400										13
31	300	201	-1								8
32	300	200	-1								8
33	301	200	-1								8
34	301	201	-1								8
61	300	201	-1	100	-1	-1					8
62	300	201	-1	101	-1	-1					8
63	300	200	-1	100	-1	-1					8
64	300	200	-1	101	-1	-1					8
65	301	201	-1	100	-1	-1					8
66	301	201	-1	101	-1	-1					8
67	301	200	-1	100	-1	-1					8
68	301	200	-1	101	-1	-1					8
101	400										13
301	200	100	-1								8
302	200	101	-1								9
311	201	100	-1								8
312	201	101	-1								9
401	300	201	-1	-1							8
402	300	200	-1	-1							9
403	300	-1	-1	101							10
411	301	200	-1	-1							8
412	301	201	-1	-1							9
413	301	-1	-1	100							10
501	300	201	-1	-1	-1						5
502	300	101	-1	-1	-1						8
503	300	200	-1	101	-1						14
504	303	-1	-1	101	-1						14
511	301	200	-1	-1	-1						5
512	301	100	-1	-1	-1						8
513	301	201	-1	100	-1						14
514	304	-1	-1	100	-1						14
601	300	201	-1	-1	-1	-1					14
602	300	101	-1	-1	-1	-1					8
603	300	201	-1	101	-1	-1					5
604	303	-1	-1	100	-1	-1					14
611	301	200	-1	-1	-1	-1					14
612	301	100	-1	-1	-1	-1					8
613	301	200	-1	100	-1	-1					5
614	304	-1	-1	100	-1	-1					14
701	300	200	-1	-1	101	-1	-1				14
702	300	101	-1	-1	-1	-1	-1				9
703	300	201	-1	-1	101	-1	-1				14
711	301	201	-1	-1	100	-1	-1				14
712	301	100	-1	-1	-1	-1	-1				9
713	301	200	-1	-1	100	-1	-1				14
800	301	100	-1								11
801	300	101	-1								11
802	301	100	-1	-1							10
803	300	101	-1	-1							10
804	300	100	-1	-1							10
805	303	101	-1	-1							11
806	304	100	-1	-1							11
807	300	100	-1	-1	-1	-1					11
808	301	101	-1	-1	-1	-1					11
810	301	201	-1								5
811	300	200	-1								5
812	300	303	-1								14
813	301	304	-1								14
814	300	304	-1								14
815	301	303	-1								14
816	100	-1	-1	-1	-1	-1	-1	-1	-1		4
900	500	-1	-1	-1	-1	-1	-1	-1	-1	-1	15
901	501	-1	-1	-1	-1	-1					15
902	502	-1	-1	-1	-1	-1					15
903	503	-1	-1								15
904	503	503	503								15
905	504	-1	-1	-1							15
906	506	507	508								15
907	505	-1	-1	-1							15
908	509										15
909	511	508	-1	-1	-1	-1					16
910	510	-1	506	-1	-1	-1					16
911	507	507	508	508							15
912	509	-1									15
913	512	-1	-1	-1	-1						17
914	513	-1	-1								17
915	515	515	515	515	515	515					17
916	514	514	514								17
917	514										17
918	515	-1	-1	-1	-1	-1					17
919	516	-1	-1	-1							17
920	517	-1	-1	-1							17
921	520										17
922	518										17
923	521	521	521								17
924	522	522	522								17
925	523	-1	-1								17
926	524										17
927	525	525	525								17
928	526	-1	-1								17
929	527										17
930	528										17
931	529										17
