Id	ModeLimit	ModeIdStr	NpcGroupIdStr[1]	NpcGroupIdStr[2]	NpcGroupIdStr[3]	NpcGroupIdStr[4]	NpcGroupIdStr[5]	NpcGroupIdStr[6]	NpcGroupIdStr[7]	NpcGroupIdStr[8]	NpcGroupIdStr[9]	NpcGroupIdStr[10]	NpcGroupIdStr[11]	NpcGroupIdStr[12]	NpcGroupIdStr[13]	NpcGroupIdStr[14]	NpcGroupIdStr[15]	NpcGroupIdStr[16]	NpcGroupIdStr[17]	NpcGroupIdStr[18]	NpcGroupIdStr[19]	NpcGroupIdStr[20]	NpcGroupIdStr[21]	NpcGroupIdStr[22]	NpcGroupIdStr[23]	NpcGroupIdStr[24]	NpcGroupIdStr[25]	NpcGroupIdStr[26]	NpcGroupIdStr[27]	NpcGroupIdStr[28]	NpcGroupIdStr[29]	NpcGroupIdStr[30]	NpcGroupIdStr[31]	NpcGroupIdStr[32]	NpcGroupIdStr[33]	NpcGroupIdStr[34]	NpcGroupIdStr[35]	NpcGroupIdStr[36]	NpcGroupIdStr[37]	NpcGroupIdStr[38]	NpcGroupIdStr[39]	NpcGroupIdStr[40]	NpcGroupIdStr[41]	NpcGroupIdStr[42]	NpcGroupIdStr[43]	NpcGroupIdStr[44]	NpcGroupIdStr[45]	NpcGroupIdStr[46]	NpcGroupIdStr[47]	NpcGroupIdStr[48]	NpcGroupIdStr[49]	NpcGroupIdStr[50]
30080101			800|801|802|803|804|805|806	800|801|802|803|804|805|806	810|811|807|808																																															
30080102			31|32|33|34	31|32|33|34	401|402|411|412|61|62|63|64|65|66|67|68																																															
30080103			301|302|311|312|502|504|512|514|602|604|612|614	301|302|311|312|501|502|511|512|504|514|602|603|604|612|613|614	501|502|511|512|601|603|604|611|613|614|701|702|711|712|812|813	503|504|513|514|601|611|603|613|703|713|812|813|814|815	301|302|311|312|502|504|512|514|602|604|612|614	301|302|311|312|501|502|511|512|504|514|602|603|604|612|613|614	501|502|511|512|601|603|604|611|613|614|701|702|711|712|812|813	101	301|302|311|312|502|504|512|514|602|604|612|614	301|302|311|312|501|502|511|512|504|514|602|603|604|612|613|614	501|502|511|512|601|603|604|611|613|614|701|702|711|712|812|813	503|504|513|514|601|611|603|613|703|713|812|813|814|815|101	301|302|311|312|502|504|512|514|602|604|612|614	301|302|311|312|501|502|511|512|504|514|602|603|604|612|613|614	501|502|511|512|601|603|604|611|613|614|701|702|711|712|812|813	503|504|513|514|601|611|603|613|703|713|812|813|814|815|101	301|302|311|312|502|504|512|514|602|604|612|614	301|302|311|312|501|502|511|512|504|514|602|603|604|612|613|614	501|502|511|512|601|603|604|611|613|614|701|702|711|712|812|813	503|504|513|514|601|611|603|613|703|713|812|813|814|815|101	301|302|311|312|502|504|512|514|602|604|612|614	301|302|311|312|501|502|511|512|504|514|602|603|604|612|613|614	501|502|511|512|601|603|604|611|613|614|701|702|711|712|812|813	503|504|513|514|601|611|603|613|703|713|812|813|814|815|101	301|302|311|312|502|504|512|514|602|604|612|614	301|302|311|312|501|502|511|512|504|514|602|603|604|612|613|614	501|502|511|512|601|603|604|611|613|614|701|702|711|712|812|813	503|504|513|514|601|611|603|613|703|713|812|813|814|815|101	301|302|311|312|502|504|512|514|602|604|612|614	301|302|311|312|501|502|511|512|504|514|602|603|604|612|613|614	501|502|511|512|601|603|604|611|613|614|701|702|711|712|812|813	503|504|513|514|601|611|603|613|703|713|812|813|814|815|101	301|302|311|312|502|504|512|514|602|604|612|614	301|302|311|312|501|502|511|512|504|514|602|603|604|612|613|614	501|502|511|512|601|603|604|611|613|614|701|702|711|712|812|813	503|504|513|514|601|611|603|613|703|713|812|813|814|815|101	301|302|311|312|502|504|512|514|602|604|612|614	301|302|311|312|501|502|511|512|504|514|602|603|604|612|613|614	501|502|511|512|601|603|604|611|613|614|701|702|711|712|812|813	503|504|513|514|601|611|603|613|703|713|812|813|814|815|101	301|302|311|312|502|504|512|514|602|604|612|614	301|302|311|312|501|502|511|512|504|514|602|603|604|612|613|614	501|502|511|512|601|603|604|611|613|614|701|702|711|712|812|813	503|504|513|514|601|611|603|613|703|713|812|813|814|815|101	301|302|311|312|502|504|512|514|602|604|612|614	301|302|311|312|501|502|511|512|504|514|602|603|604|612|613|614	501|502|511|512|601|603|604|611|613|614|701|702|711|712|812|813	503|504|513|514|601|611|603|613|703|713|812|813|814|815|101	301|302|311|312|502|504|512|514|602|604|612|614	301|302|311|312|501|502|511|512|504|514|602|603|604|612|613|614
30080201			800|801|802|803|804|805|806	800|801|802|803|804|805|806	810|811|807|808																																															
30080202			31|32|33|34	31|32|33|34	401|402|411|412|61|62|63|64|65|66|67|68																																															
30080203			301|302|311|312|502|504|512|514|602|604|612|614	301|302|311|312|501|502|511|512|504|514|602|603|604|612|613|614	501|502|511|512|601|603|604|611|613|614|701|702|711|712|812|813	503|504|513|514|601|611|603|613|703|713|812|813|814|815	301|302|311|312|502|504|512|514|602|604|612|614	301|302|311|312|501|502|511|512|504|514|602|603|604|612|613|614	501|502|511|512|601|603|604|611|613|614|701|702|711|712|812|813	101	301|302|311|312|502|504|512|514|602|604|612|614	301|302|311|312|501|502|511|512|504|514|602|603|604|612|613|614	501|502|511|512|601|603|604|611|613|614|701|702|711|712|812|813	503|504|513|514|601|611|603|613|703|713|812|813|814|815|101	301|302|311|312|502|504|512|514|602|604|612|614	301|302|311|312|501|502|511|512|504|514|602|603|604|612|613|614	501|502|511|512|601|603|604|611|613|614|701|702|711|712|812|813	503|504|513|514|601|611|603|613|703|713|812|813|814|815|101	301|302|311|312|502|504|512|514|602|604|612|614	301|302|311|312|501|502|511|512|504|514|602|603|604|612|613|614	501|502|511|512|601|603|604|611|613|614|701|702|711|712|812|813	503|504|513|514|601|611|603|613|703|713|812|813|814|815|101	301|302|311|312|502|504|512|514|602|604|612|614	301|302|311|312|501|502|511|512|504|514|602|603|604|612|613|614	501|502|511|512|601|603|604|611|613|614|701|702|711|712|812|813	503|504|513|514|601|611|603|613|703|713|812|813|814|815|101	301|302|311|312|502|504|512|514|602|604|612|614	301|302|311|312|501|502|511|512|504|514|602|603|604|612|613|614	501|502|511|512|601|603|604|611|613|614|701|702|711|712|812|813	503|504|513|514|601|611|603|613|703|713|812|813|814|815|101	301|302|311|312|502|504|512|514|602|604|612|614	301|302|311|312|501|502|511|512|504|514|602|603|604|612|613|614	501|502|511|512|601|603|604|611|613|614|701|702|711|712|812|813	503|504|513|514|601|611|603|613|703|713|812|813|814|815|101	301|302|311|312|502|504|512|514|602|604|612|614	301|302|311|312|501|502|511|512|504|514|602|603|604|612|613|614	501|502|511|512|601|603|604|611|613|614|701|702|711|712|812|813	503|504|513|514|601|611|603|613|703|713|812|813|814|815|101	301|302|311|312|502|504|512|514|602|604|612|614	301|302|311|312|501|502|511|512|504|514|602|603|604|612|613|614	501|502|511|512|601|603|604|611|613|614|701|702|711|712|812|813	503|504|513|514|601|611|603|613|703|713|812|813|814|815|101	301|302|311|312|502|504|512|514|602|604|612|614	301|302|311|312|501|502|511|512|504|514|602|603|604|612|613|614	501|502|511|512|601|603|604|611|613|614|701|702|711|712|812|813	503|504|513|514|601|611|603|613|703|713|812|813|814|815|101	301|302|311|312|502|504|512|514|602|604|612|614	301|302|311|312|501|502|511|512|504|514|602|603|604|612|613|614	501|502|511|512|601|603|604|611|613|614|701|702|711|712|812|813	503|504|513|514|601|611|603|613|703|713|812|813|814|815|101	301|302|311|312|502|504|512|514|602|604|612|614	301|302|311|312|501|502|511|512|504|514|602|603|604|612|613|614
30080301			800|801|802|803|804|805|806	800|801|802|803|804|805|806	810|811|807|808																																															
30080302			31|32|33|34	31|32|33|34	401|402|411|412|61|62|63|64|65|66|67|68																																															
30080303			301|302|311|312|502|504|512|514|602|604|612|614	301|302|311|312|501|502|511|512|504|514|602|603|604|612|613|614	501|502|511|512|601|603|604|611|613|614|701|702|711|712|812|813	503|504|513|514|601|611|603|613|703|713|812|813|814|815	301|302|311|312|502|504|512|514|602|604|612|614	301|302|311|312|501|502|511|512|504|514|602|603|604|612|613|614	501|502|511|512|601|603|604|611|613|614|701|702|711|712|812|813	101	301|302|311|312|502|504|512|514|602|604|612|614	301|302|311|312|501|502|511|512|504|514|602|603|604|612|613|614	501|502|511|512|601|603|604|611|613|614|701|702|711|712|812|813	503|504|513|514|601|611|603|613|703|713|812|813|814|815|101	301|302|311|312|502|504|512|514|602|604|612|614	301|302|311|312|501|502|511|512|504|514|602|603|604|612|613|614	501|502|511|512|601|603|604|611|613|614|701|702|711|712|812|813	503|504|513|514|601|611|603|613|703|713|812|813|814|815|101	301|302|311|312|502|504|512|514|602|604|612|614	301|302|311|312|501|502|511|512|504|514|602|603|604|612|613|614	501|502|511|512|601|603|604|611|613|614|701|702|711|712|812|813	503|504|513|514|601|611|603|613|703|713|812|813|814|815|101	301|302|311|312|502|504|512|514|602|604|612|614	301|302|311|312|501|502|511|512|504|514|602|603|604|612|613|614	501|502|511|512|601|603|604|611|613|614|701|702|711|712|812|813	503|504|513|514|601|611|603|613|703|713|812|813|814|815|101	301|302|311|312|502|504|512|514|602|604|612|614	301|302|311|312|501|502|511|512|504|514|602|603|604|612|613|614	501|502|511|512|601|603|604|611|613|614|701|702|711|712|812|813	503|504|513|514|601|611|603|613|703|713|812|813|814|815|101	301|302|311|312|502|504|512|514|602|604|612|614	301|302|311|312|501|502|511|512|504|514|602|603|604|612|613|614	501|502|511|512|601|603|604|611|613|614|701|702|711|712|812|813	503|504|513|514|601|611|603|613|703|713|812|813|814|815|101	301|302|311|312|502|504|512|514|602|604|612|614	301|302|311|312|501|502|511|512|504|514|602|603|604|612|613|614	501|502|511|512|601|603|604|611|613|614|701|702|711|712|812|813	503|504|513|514|601|611|603|613|703|713|812|813|814|815|101	301|302|311|312|502|504|512|514|602|604|612|614	301|302|311|312|501|502|511|512|504|514|602|603|604|612|613|614	501|502|511|512|601|603|604|611|613|614|701|702|711|712|812|813	503|504|513|514|601|611|603|613|703|713|812|813|814|815|101	301|302|311|312|502|504|512|514|602|604|612|614	301|302|311|312|501|502|511|512|504|514|602|603|604|612|613|614	501|502|511|512|601|603|604|611|613|614|701|702|711|712|812|813	503|504|513|514|601|611|603|613|703|713|812|813|814|815|101	301|302|311|312|502|504|512|514|602|604|612|614	301|302|311|312|501|502|511|512|504|514|602|603|604|612|613|614	501|502|511|512|601|603|604|611|613|614|701|702|711|712|812|813	503|504|513|514|601|611|603|613|703|713|812|813|814|815|101	301|302|311|312|502|504|512|514|602|604|612|614	301|302|311|312|501|502|511|512|504|514|602|603|604|612|613|614
30080401			800|801|802|803|804|805|806	800|801|802|803|804|805|806	810|811|807|808																																															
