Id	Name	NpcId[1]	NpcId[2]	NpcId[3]	NpcId[4]	NpcId[5]	NpcId[6]	NpcId[7]	NpcId[8]	NpcId[9]	NpcId[10]	Weight[1]	Weight[2]	Weight[3]	Weight[4]	Weight[5]	Weight[6]	Weight[7]	Weight[8]	Weight[9]	Weight[10]
100	Minion (Melee)	92030	92100	92150								100	100	100							
101	Minion (Melee)	92090	92160									100	100								
200	Soldier (Melee)	91030	91100	91120	91150	91180	91210					100	100	100	100	100	100				
201	Soldier (Ranged)	91090	91110	91160	91170							100	100	100	100						
300	Elite (Melee)	90210	90250	90260	90330	90340						100	100	100	100	100					
301	Elite	90350	90370	90420	90360	90430						100	100	100	100	100					
302	Titan Elite	90410	90440	90400								100	100	100							
303	Minion Elite Melee	90030	90100	90150	90180							100	100	100	100						
304	Minion Elite Ranged	90090	90110	90160								100	100	100							
400	BOSS	81200	81500									100	100								
