Id	RefreshId	UniformRefresh
30080101	30080101	1
30080102	30080102	1
30080103	30080103	1
30080201	30080201	1
30080202	30080202	1
30080203	30080203	1
30080301	30080301	1
30080302	30080302	1
30080303	30080303	1
30080401	30080401	1
30080402	30080402	1
30080403	30080403	1
30080501	30080501	1
30080502	30080502	1
30080503	30080503	1
30090501	30090501	1
30090502	30090501	1
30090503	30090501	1
30090504	30090501	1
30090505	30090501	1
30090506	30090501	1
30090507	30090501	1
30090508	30090501	1
30090509	30090501	1
30090510	30090501	1
30090511	30090511	1
30090512	30090512	1
30090531	30090531	1
30090532	30090531	1
30090533	30090531	1
30090534	30090531	1
30090535	30090531	1
30090536	30090531	1
30090537	30090531	1
30090538	30090531	1
30090539	30090531	1
30090540	30090531	1
30090541	30090541	1
30090550	30090550	1
30090551	30090550	1
30090552	30090550	1
30090553	30090550	1
30090554	30090550	1
30090555	30090550	1
30090556	30090550	1
30090557	30090550	1
30090558	30090550	1
30090559	30090550	1
