ChapterId	ChapterName	Bg	Priority	ActivityBegin	ActivityEnd	ActivityCondition	OpenCondition[1]	OpenCondition[2]	StageId[1]	StageId[2]	StageId[3]	StageId[4]	StageId[5]	StageId[6]	StageId[7]	PrefabName	ConditionPriority	TabRawImagePath	RImgChapterNamePath	UiFxPath	UiBgPath
1001001	Escape to Somewhere	Assets/Product/Texture/Image/UiFubenPrequelBanner/PrequelBanner01.png	100				6000		13010120	13010111	13010112	13010113	13010114	13010115	13010116	Assets/Product/Ui/ComponentPrefab/FuBenPrequel/FuBenPrequel01.prefab		Assets/Product/Texture/Image/UiPrequel/PrequelTab01.png	Assets/Product/Texture/Image/UiPrequel/PrequelBt01.png	Assets/Product/Effect/Prefab/FxUi/FxUiFuBenPrequel01b/FxUiSmoke01.prefab	Assets/Product/Texture/Image/UiPrequel/Prequel01.png
1001002	Metamorphosis	Assets/Product/Texture/Image/UiFubenPrequelBanner/PrequelBanner01B.png	100	2019/12/24 11:00	2020/1/25 5:00	5001	6102		13011020	13011011	13011012	13011013	13011014	13011015	13011016	Assets/Product/Ui/ComponentPrefab/FuBenPrequel/FuBenPrequel01a.prefab		Assets/Product/Texture/Image/UiPrequel/PrequelTab01a.png	Assets/Product/Texture/Image/UiPrequel/PrequelBt01a.png	Assets/Product/Effect/Prefab/FxUi/FxUiFuBenPrequel01b/FxUiSmoke01.prefab	Assets/Product/Texture/Image/UiPrequel/Prequel01a.png
1001003	Treasure	Assets/Product/Texture/Image/UiFubenPrequelBanner/PrequelBanner01C.png	100	2020/6/11 5:00	2020/7/16 5:00	5001	6107		13011620	13011611	13011612	13011613	13011614	13011615	13011616	Assets/Product/Ui/ComponentPrefab/FuBenPrequel/FuBenPrequel01b.prefab		Assets/Product/Texture/Image/UiPrequel/PrequelTab01b.png	Assets/Product/Texture/Image/UiPrequel/PrequelBt01b.png	Assets/Product/Effect/Prefab/FxUi/FxUiFuBenPrequel01b/FxUiSmoke01.prefab	Assets/Product/Texture/Image/UiPrequel/Prequel01b.png
1002001	Under a Pale Moon	Assets/Product/Texture/Image/UiFubenPrequelBanner/PrequelBanner02.png	90				6001		13010220	13010211	13010212	13010213	13010214	13010215	13010216	Assets/Product/Ui/ComponentPrefab/FuBenPrequel/FuBenPrequel02.prefab		Assets/Product/Texture/Image/UiPrequel/PrequelTab02.png	Assets/Product/Texture/Image/UiPrequel/PrequelBt02.png	Assets/Product/Effect/Prefab/FxUi/FxUiFuBenPrequel01b/FxUiSmoke01.prefab	Assets/Product/Texture/Image/UiPrequel/Prequel02.png
1003001	Devour	Assets/Product/Texture/Image/UiFubenPrequelBanner/PrequelBanner04.png	80				6002		13010320	13010311	13010312	13010313	13010314	13010315	13010316	Assets/Product/Ui/ComponentPrefab/FuBenPrequel/FuBenPrequel03.prefab		Assets/Product/Texture/Image/UiPrequel/PrequelTab03.png	Assets/Product/Texture/Image/UiPrequel/PrequelBt03.png	Assets/Product/Effect/Prefab/FxUi/FxUiFuBenPrequel01b/FxUiSmoke01.prefab	Assets/Product/Texture/Image/UiPrequel/Prequel03.png
1003002	Friendship	Assets/Product/Texture/Image/UiFubenPrequelBanner/PrequelBanner04B.png	80				6002		13010920	13010911	13010912	13010913	13010914	13010915	13010916	Assets/Product/Ui/ComponentPrefab/FuBenPrequel/FuBenPrequel03a.prefab		Assets/Product/Texture/Image/UiPrequel/PrequelTab03a.png	Assets/Product/Texture/Image/UiPrequel/PrequelBt03a.png	Assets/Product/Effect/Prefab/FxUi/FxUiFuBenPrequel01b/FxUiSmoke01.prefab	Assets/Product/Texture/Image/UiPrequel/Prequel03a.png
1004001	421	Assets/Product/Texture/Image/UiFubenPrequelBanner/PrequelBanner03.png	70				6003		13010420	13010411	13010412	13010413	13010414	13010415	13010416	Assets/Product/Ui/ComponentPrefab/FuBenPrequel/FuBenPrequel04.prefab		Assets/Product/Texture/Image/UiPrequel/PrequelTab04.png	Assets/Product/Texture/Image/UiPrequel/PrequelBt04.png	Assets/Product/Effect/Prefab/FxUi/FxUiFuBenPrequel01b/FxUiSmoke01.prefab	Assets/Product/Texture/Image/UiPrequel/Prequel04.png
1005001	Frozen Heart	Assets/Product/Texture/Image/UiFubenPrequelBanner/PrequelBanner06.png	60				6004		13010520	13010511	13010512	13010513	13010514	13010515	13010516	Assets/Product/Ui/ComponentPrefab/FuBenPrequel/FuBenPrequel05.prefab		Assets/Product/Texture/Image/UiPrequel/PrequelTab05.png	Assets/Product/Texture/Image/UiPrequel/PrequelBt05.png	Assets/Product/Effect/Prefab/FxUi/FxUiFuBenPrequel01b/FxUiSmoke01.prefab	Assets/Product/Texture/Image/UiPrequel/Prequel05.png
1006001	Fostered by Blade	Assets/Product/Texture/Image/UiFubenPrequelBanner/PrequelBanner07.png	50				6005		13010620	13010611	13010612	13010613	13010614	13010615	13010616	Assets/Product/Ui/ComponentPrefab/FuBenPrequel/FuBenPrequel06.prefab		Assets/Product/Texture/Image/UiPrequel/PrequelTab06.png	Assets/Product/Texture/Image/UiPrequel/PrequelBt06.png	Assets/Product/Effect/Prefab/FxUi/FxUiFuBenPrequel01b/FxUiSmoke01.prefab	Assets/Product/Texture/Image/UiPrequel/Prequel06.png
1006002	The Land of the Fallen Star	Assets/Product/Texture/Image/UiFubenPrequelBanner/PrequelBanner07B.png	60	2020/2/6 5:00	2020/3/12 5:00	5001	6103		13011120	13011111	13011112	13011113	13011114	13011115	13011116	Assets/Product/Ui/ComponentPrefab/FuBenPrequel/FuBenPrequel06a.prefab		Assets/Product/Texture/Image/UiPrequel/PrequelTab06a.png	Assets/Product/Texture/Image/UiPrequel/PrequelBt06a.png	Assets/Product/Effect/Prefab/FxUi/FxUiFuBenPrequel01b/FxUiSmoke01.prefab	Assets/Product/Texture/Image/UiPrequel/Prequel06a.png
