Id	Type	Param[1]	Param[2]
101011	1	30150136	
101021	1	30150101	30150149
101022	5	1101	
101031	5	1102	
101032	1	30150104	30150152
101041	1	30150102	30150150
101042	1	30150103	30150151
101051	3	10001	
101052	5	1103	
101053	1	30150102	30150150
101061	5	1104	
101062	1	30150104	30150152
101063	1	30150101	30150149
101064	5	1104	
101071	1	30150137	
101072	5	1105	
101073	3	10001	
101081	1	30150101	30150149
101082	5	1106	
101083	1	30150137	
101091	2	3101	
101092	2	3103	
101093	2	3102	
101101	1	30150102	30150150
101102	1	30150122	30150170
101103	1	30150104	30150152
101111	5	1108	
101112	3	10001	
101113	1	30150103	30150151
101121	4	30001	
101122	5	1107	
101131	1	30150103	30150151
101132	5	1108	
101133	4	30002	
101134	1	30150102	30150150
101141	1	30150121	30150169
101142	1	30150101	30150149
101143	4	30003	
101151	3	10002	
101152	3	10002	
101153	3	10002	
101161	1	30150131	30150179
102011	1	30150136	
102021	1	30150101	30150149
102022	1	30150104	30150152
102031	1	30150102	30150150
102032	5	1101	
102033	5	1101	
102034	1	30150103	30150151
102041	5	1102	
102042	1	30150102	30150150
102043	1	30150102	30150150
102051	1	30150103	30150151
102052	1	30150103	30150151
102053	1	30150101	30150149
102054	5	1103	
102061	5	1104	
102062	3	10001	
102063	5	1104	
102064	3	10001	
102071	3	10001	
102072	1	30150104	30150152
102073	1	30150137	
102081	1	30150137	
102082	5	1105	
102091	2	3101	
102092	2	3103	
102093	2	3102	
102101	1	30150101	30150149
102102	5	1105	
102103	1	30150104	30150152
102111	1	30150102	30150150
102112	4	30001	
102121	4	30002	
102122	1	30150121	30150169
102123	1	30150103	30150151
102131	1	30150103	30150151
102132	4	30003	
102133	5	1106	
102141	5	1107	
102142	1	30150102	30150150
102143	1	30150122	30150170
102151	3	10002	
102152	3	10002	
102161	1	30150131	30150179
103011	1	30150136	
103021	5	1101	
103022	1	30150101	30150149
103031	1	30150104	30150152
103032	5	1101	
103041	1	30150103	30150151
103042	5	1102	
103043	1	30150103	30150151
103051	1	30150102	30150150
103052	5	1103	
103061	5	1104	
103062	1	30150104	30150152
103071	1	30150101	30150149
103072	3	10001	
103073	1	30150137	
103081	1	30150137	
103082	5	1105	
103091	2	3101	
103092	2	3103	
103093	2	3102	
103101	3	10001	
103102	5	1106	
103103	3	10001	
103111	1	30150102	30150150
103112	1	30150101	30150149
103113	1	30150121	30150169
103121	1	30150122	30150170
103122	4	30001	
103131	4	30002	
103132	1	30150102	30150150
103133	5	1107	
103141	5	1108	
103142	5	1108	
103143	1	30150103	30150151
103151	3	10002	
103152	3	10002	
103161	1	30150131	30150179
104011	1	30150136	
104021	1	30150101	30150149
104022	5	1101	
104031	5	1102	
104032	1	30150104	30150152
104041	1	30150102	30150150
104042	1	30150103	30150151
104043	5	1103	
104051	1	30150103	30150151
104052	1	30150102	30150150
104061	5	1103	
104062	3	10001	
104063	1	30150101	30150149
104071	1	30150137	
104072	1	30150137	
104073	5	1105	
104081	3	10001	
104082	5	1105	
104083	1	30150137	
104091	2	3101	
104092	2	3103	
104093	2	3102	
104101	1	30150101	30150149
104102	5	1106	
104103	1	30150104	30150152
104111	1	30150102	30150150
104112	1	30150103	30150151
104113	3	10001	
104121	4	30001	
104122	1	30150121	30150169
104131	5	1107	
104132	5	1107	
104133	1	30150101	30150149
104141	1	30150103	30150151
104142	4	30002	
104151	3	10002	
104152	3	10002	
104161	1	30150131	30150179
105171	1	30150138	
105172	1	30150138	
105181	5	1201	
105182	1	30150108	30150156
105191	4	31001	
105192	1	30150105	30150153
105193	5	1202	
105194	1	30150107	30150155
105201	1	30150105	30150153
105202	4	31002	
105203	5	1203	
105211	5	1204	
105212	1	30150106	30150154
105213	4	31003	
105221	1	30150106	30150154
105222	1	30150107	30150155
105223	1	30150139	
105224	1	30150139	
105231	1	30150139	
105232	1	30150139	
105233	3	10001	
105234	1	30150107	30150155
105235	3	10001	
105241	3	10001	
105242	1	30150108	30150156
105243	5	1205	
105244	1	30150106	30150154
105251	2	3201	
105252	2	3203	
105253	2	3202	
105254	2	3203	
105261	1	30150107	30150155
105262	1	30150105	30150153
105271	5	1206	
105272	1	30150108	30150156
105273	3	10001	
105274	1	30150123	30150171
105281	4	31004	
105282	5	1207	
105283	1	30150107	30150155
105284	1	30150107	30150155
105291	1	30150108	30150156
105292	1	30150124	30150172
105293	4	31005	
105301	5	1208	
105302	1	30150124	30150172
105303	1	30150106	30150154
105304	5	1208	
105311	3	10002	
105312	3	10002	
105321	1	30150132	30150180
106171	1	30150138	
106172	1	30150138	
106181	5	1201	
106182	1	30150105	30150153
106191	1	30150108	30150156
106192	5	1202	
106193	1	30150106	30150154
106201	1	30150107	30150155
106202	4	31001	
106203	5	1203	
106211	4	31002	
106212	1	30150106	30150154
106213	1	30150107	30150155
106221	5	1204	
106222	1	30150139	
106223	1	30150139	
106231	1	30150139	
106232	1	30150108	30150156
106233	3	10001	
106241	1	30150105	30150153
106242	5	1205	
106243	1	30150105	30150153
106244	1	30150123	30150171
106251	2	3201	
106252	2	3203	
106253	2	3202	
106254	2	3203	
106261	3	10001	
106262	1	30150106	30150154
106271	1	30150108	30150156
106272	5	1206	
106273	3	10001	
106274	1	30150107	30150155
106281	1	30150107	30150155
106282	1	30150124	30150172
106283	1	30150107	30150155
106284	5	1207	
106291	4	31004	
106292	5	1207	
106293	1	30150124	30150172
106294	1	30150108	30150156
106301	5	1208	
106302	1	30150105	30150153
106303	4	31003	
106304	5	1208	
106311	3	10002	
106312	3	10002	
106313	3	10002	
106321	1	30150132	30150180
107171	1	30150138	
107172	1	30150138	
107181	1	30150105	30150153
107182	5	1201	
107183	1	30150108	30150156
107191	5	1202	
107192	1	30150105	30150153
107193	5	1202	
107201	1	30150106	30150154
107202	5	1203	
107203	1	30150107	30150155
107211	1	30150107	30150155
107212	1	30150123	30150171
107213	1	30150106	30150154
107221	4	31001	
107222	5	1204	
107223	1	30150108	30150156
107224	5	1204	
107231	1	30150139	
107232	1	30150139	
107241	1	30150108	30150156
107242	3	10001	
107243	4	31002	
107244	5	1205	
107251	2	3201	
107252	2	3202	
107253	2	3203	
107261	5	1206	
107262	1	30150105	30150153
107271	1	30150105	30150153
107272	1	30150107	30150155
107273	5	1207	
107274	1	30150108	30150156
107281	1	30150124	30150172
107282	1	30150106	30150154
107283	3	10001	
107291	5	1208	
107292	4	31003	
107301	4	31004	
107302	1	30150107	30150155
107303	1	30150108	30150156
107311	3	10002	
107312	3	10002	
107313	3	10002	
107321	1	30150132	30150180
108171	1	30150138	
108172	1	30150138	
108181	1	30150105	30150153
108182	5	1201	
108183	1	30150108	30150156
108191	5	1202	
108192	1	30150106	30150154
108193	1	30150105	30150153
108194	1	30150123	30150171
108195	5	1202	
108201	4	31001	
108202	1	30150107	30150155
108203	1	30150107	30150155
108211	1	30150107	30150155
108212	1	30150108	30150156
108213	1	30150139	
108221	5	1203	
108222	3	10001	
108223	1	30150106	30150154
108224	3	10001	
108231	1	30150139	
108232	4	31002	
108233	3	10001	
108234	5	1203	
108241	1	30150108	30150156
108242	1	30150105	30150153
108243	5	1204	
108244	1	30150124	30150172
108245	1	30150106	30150154
108251	2	3201	
108252	2	3203	
108261	1	30150106	30150154
108262	5	1205	
108263	1	30150105	30150153
108264	5	1205	
108271	5	1206	
108272	4	31003	
108273	3	10001	
108274	1	30150108	30150156
108281	1	30150105	30150153
108282	4	31004	
108283	1	30150107	30150155
108291	1	30150107	30150155
108292	3	10001	
108293	1	30150106	30150154
108294	5	1208	
108301	1	30150124	30150172
108302	1	30150105	30150153
108303	1	30150106	30150154
108311	3	10002	
108312	3	10002	
108313	3	10002	
108321	1	30150132	30150180
109331	1	30150140	
109332	1	30150140	
109333	1	30150140	
109341	5	1301	
109342	1	30150109	30150157
109343	5	1301	
109344	1	30150112	30150160
109351	1	30150110	30150158
109352	1	30150109	30150157
109353	1	30150125	30150173
109354	4	32001	
109361	4	32002	
109362	1	30150110	30150158
109363	5	1302	
109371	5	1303	
109372	1	30150111	30150159
109373	1	30150141	
109374	4	32003	
109375	1	30150111	30150159
109381	1	30150141	
109382	3	10001	
109383	3	10001	
109384	1	30150141	
109391	3	10001	
109392	1	30150112	30150160
109393	1	30150141	
109394	3	10001	
109401	1	30150109	30150157
109402	5	1304	
109403	1	30150110	30150158
109411	2	3301	
109412	2	3301	
109421	5	1305	
109422	1	30150110	30150158
109423	1	30150126	30150174
109424	5	1306	
109431	1	30150126	30150174
109432	1	30150111	30150159
109433	1	30150109	30150157
109441	4	32004	
109442	4	32005	
109451	5	1307	
109452	5	1308	
109453	1	30150125	30150173
109461	1	30150112	30150160
109462	1	30150111	30150159
109463	1	30150110	30150158
109471	3	10002	
109472	3	10002	
109481	1	30150133	30150181
110331	1	30150140	
110332	1	30150140	
110333	1	30150140	
110341	1	30150109	30150157
110342	1	30150109	30150157
110343	5	1301	
110344	1	30150112	30150160
110351	1	30150110	30150158
110352	1	30150125	30150173
110353	5	1302	
110361	1	30150111	30150159
110362	4	32001	
110363	1	30150110	30150158
110364	5	1303	
110365	1	30150111	30150159
110371	5	1304	
110372	5	1304	
110373	1	30150111	30150159
110374	4	32002	
110381	1	30150141	
110382	3	10001	
110383	1	30150141	
110391	5	1305	
110392	1	30150141	
110393	3	10001	
110401	3	10001	
110402	1	30150112	30150160
110403	1	30150110	30150158
110411	2	3301	
110412	2	3302	
110413	2	3303	
110421	1	30150112	30150160
110422	5	1306	
110423	1	30150109	30150157
110431	5	1306	
110432	1	30150109	30150157
110433	1	30150112	30150160
110441	1	30150126	30150174
110442	1	30150110	30150158
110443	1	30150126	30150174
110444	4	32003	
110451	1	30150111	30150159
110452	1	30150126	30150174
110453	5	1307	
110461	4	32004	
110462	1	30150111	30150159
110463	5	1308	
110471	3	10002	
110472	3	10002	
110473	3	10002	
110481	1	30150133	30150181
111331	1	30150140	
111332	1	30150140	
111333	1	30150140	
111341	5	1301	
111342	1	30150109	30150157
111343	4	32001	
111344	1	30150112	30150160
111345	4	32002	
111351	1	30150109	30150157
111352	1	30150110	30150158
111353	5	1301	
111361	5	1302	
111362	1	30150125	30150173
111363	1	30150111	30150159
111364	1	30150111	30150159
111371	4	32003	
111372	5	1302	
111373	1	30150110	30150158
111381	5	1303	
111382	1	30150109	30150157
111383	5	1303	
111391	1	30150141	
111392	3	10001	
111393	1	30150141	
111401	3	10001	
111402	1	30150110	30150158
111403	1	30150141	
111404	3	10001	
111405	1	30150109	30150157
111411	2	3301	
111412	2	3303	
111413	2	3302	
111414	2	3303	
111421	1	30150110	30150158
111422	5	1305	
111423	1	30150112	30150160
111424	1	30150112	30150160
111431	1	30150126	30150174
111432	1	30150111	30150159
111433	1	30150126	30150174
111434	1	30150126	30150174
111435	1	30150111	30150159
111441	4	32005	
111442	1	30150125	30150173
111443	3	10001	
111444	5	1306	
111445	1	30150110	30150158
111451	1	30150112	30150160
111452	1	30150125	30150173
111453	4	32004	
111461	5	1307	
111462	1	30150110	30150158
111463	5	1308	
111464	1	30150109	30150157
111471	3	10002	
111472	3	10002	
111473	3	10002	
111481	1	30150133	30150181
112331	1	30150140	
112332	1	30150140	
112333	1	30150140	
112341	1	30150109	30150157
112342	1	30150109	30150157
112343	1	30150112	30150160
112351	5	1301	
112352	1	30150112	30150160
112353	5	1301	
112354	1	30150125	30150173
112361	1	30150125	30150173
112362	1	30150111	30150159
112363	5	1302	
112371	5	1303	
112372	1	30150110	30150158
112373	5	1303	
112374	1	30150110	30150158
112375	4	32001	
112381	3	10001	
112382	3	10001	
112383	1	30150111	30150159
112391	1	30150111	30150159
112392	5	1304	
112393	4	32002	
112394	1	30150141	
112401	1	30150141	
112402	1	30150141	
112403	1	30150109	30150157
112411	2	3303	
112412	2	3301	
112413	2	3302	
112414	2	3302	
112421	1	30150126	30150174
112422	1	30150109	30150157
112423	3	10001	
112424	5	1305	
112431	1	30150112	30150160
112432	5	1306	
112433	1	30150112	30150160
112441	4	32003	
112442	5	1307	
112443	4	32004	
112444	1	30150111	30150159
112451	1	30150125	30150173
112452	5	1308	
112453	1	30150110	30150158
112461	1	30150109	30150157
112462	1	30150125	30150173
112463	1	30150125	30150173
112464	1	30150109	30150157
112471	3	10002	
112472	3	10002	
112481	1	30150133	30150181
113491	1	30150142	
113492	1	30150142	
113493	1	30150142	
113494	1	30150142	
113501	1	30150113	30150161
113502	1	30150127	30150175
113503	5	1401	
113504	1	30150116	30150164
113511	5	1402	
113512	1	30150114	30150162
113513	5	1402	
113514	4	33001	
113521	1	30150114	30150162
113522	4	33002	
113523	1	30150115	30150163
113531	1	30150115	30150163
113532	5	1403	
113533	1	30150114	30150162
113541	1	30150143	
113542	1	30150115	30150163
113543	1	30150143	
113544	3	10001	
113551	3	10001	
113552	1	30150143	
113553	5	1404	
113554	1	30150143	
113561	1	30150116	30150164
113562	3	10001	
113563	3	10001	
113564	1	30150113	30150161
113565	5	1405	
113571	2	3401	
113572	2	3403	
113573	2	3401	
113574	2	3402	
113581	3	10001	
113582	1	30150128	30150176
113583	1	30150116	30150164
113584	5	1406	
113591	1	30150113	30150161
113592	5	1407	
113593	1	30150128	30150176
113601	1	30150127	30150175
113602	1	30150114	30150162
113603	5	1407	
113604	4	33003	
113611	4	33004	
113612	4	33005	
113613	5	1408	
113621	1	30150115	30150163
113622	1	30150127	30150175
113623	1	30150115	30150163
113631	3	10002	
113632	3	10002	
113641	1	30150134	30150182
114491	1	30150142	
114492	1	30150142	
114493	1	30150142	
114494	1	30150142	
