Id	Type	Param[1]	Param[2]	Param[3]	Param[4]
1001	10	30			
1002	7	60300	50		
1003	6	1			
1004	3	2			
1005	9	60300	30		
1006	10	25			
1007	7	60300	40		
1008	6	1			
1009	7	60300	50		
1010	7	60300	30		
1011	6	1			
1012	4	100			
1013	10	20			
1014	7	60300	35		
1015	7	60300	25		
1016	7	60300	25		
1017	3	1			
1018	7	60300	28		
1019	10	25			
1020	3	1			
1021	6	1			
1022	11	60300	15		
1023	6	1			
1024	10	25			
1025	11	60300	100		
1026	5	1			
1027	4	100			
1028	9	60300	180		
1029	6	1			
1030	7	60300	50		
1031	10	30			
1032	3	1			
1033	12	60300	20		
1034	4	100			
1035	6	1			
1036	11	60300	15		
1037	6	1			
1038	3	2			
1039	6	1			
1040	11	60300	20		
1041	10	50			
1042	11	60300	25		
1043	6	1			
1044	3	1			
1045	7	60300	30		
1046	7	60300	35		
1047	10	20			
1048	1	800008			
1049	1	6003			
1050	7	60300	30		
1051	11	60300	5		
1052	10	15			
1053	11	60300	10		
1054	12	60300	15		
1055	3	1			
1056	6	1			
1057	11	60300	15		
1058	5	1			
1059	12	60300	10		
1060	10	15			
1061	11	60300	10		
1062	10	20			
1063	11	60300	15		
1064	10	15			
1065	3	1			
1066	6	1			
1067	10	20			
1068	11	60300	30		
1069	6	1			
1070	4	100			
1071	6	1			
1072	3	2			
1073	10	50			
1074	11	60300	10		
1075	3	1			
1076	10	50			
1077	5	1			
1078	12	60300	10		
1079	4	100			
1080	12	60300	15		
1081	4	100			
1082	12	60300	15		
1083	4	100			
1084	10	50			
1085	5	1			
1086	6	1			
1087	11	60300	25		
1088	9	60300	80		
1089	10	30			
1090	9	60300	50		
1091	10	20			
1092	9	60300	30		
1093	10	10			
1094	9	60300	20		
1095	12	60300	15		
1096	4	100			
1097	10	20			
1098	11	60300	15		
1099	11	60300	5		
1100	6	1			
1101	4	100			
1102	11	60300	5		
1103	10	20			
1104	11	60300	15		
1105	12	60300	15		
1106	6	1			
1107	3	2			
1108	10	30			
1109	11	60300	15		
1110	12	60300	10		
1111	12	60300	10		
1112	4	100			
1113	12	60300	15		
1114	3	2			
1115	6	1			
1116	3	2			
1117	9	60300	40		
1118	4	100			
1119	10	25			
1120	7	60300	45		
1121	6	1			
1122	3	2			
1123	12	60300	15		
1124	3	2			
1125	12	60300	15		
1126	5	1			
1127	12	60300	10		
1128	10	20			
1129	7	60300	45		
1130	12	60300	10		
2001	4	100			
2002	7	60300	200		
2003	3	4			
2004	8	1105			
