Id	Tier	Group	NodeId[1]	FatherNode[1]	NodeId[2]	FatherNode[2]	NodeId[3]	FatherNode[3]	NodeId[4]	FatherNode[4]	NodeId[5]	FatherNode[5]	NodeId[6]	FatherNode[6]	NodeId[7]	FatherNode[7]
1	1	1	101011													
2	2	1	101021	101011	101022	101011										
3	3	1	101031	101021	101032	101022										
4	4	1	101041	101031	101042	101031	101043	101032								
5	5	1	101051	101041|101042	101052	101043										
6	6	1	101061	101051	101062	101051|101052										
7	7	1	101071	101061	101072	101062	101073	101062								
8	8	1	101081	101071|101072	101082	101073										
9	9	1	101091	101081	101092	101081	101093	101082								
10	10	1	101101	101091	101102	101092|101093	101103	101093								
11	11	1	101111	101101	101112	101102	101113	101102|101103								
12	12	1	101121	101111	101122	101112|101113										
13	13	1	101131	101121	101132	101122	101133	101122								
14	14	1	101141	101131	101142	101132	101143	101133								
15	15	1	101151	101141	101152	101142|101143										
16	16	1	101161	101151|101152												
17	17	2	102171		102172											
18	18	2	102181	102171	102182	102171	102183	102172								
19	19	2	102191	102181	102192	102182	102193	102183								
20	20	2	102201	102191	102202	102192	102203	102193								
21	21	2	102211	102201|102202	102212	102202	102213	102203								
22	22	2	102221	102211	102222	102211	102223	102211	102224	102212|102213						
23	23	2	102231	102221|102222	102232	102223|102224										
24	24	2	102241	102231	102242	102231	102243	102232	102244	102232						
25	25	2	102251	102241	102252	102242	102253	102243|102244								
26	26	2	102261	102251	102262	102252|102253										
27	27	2	102271	102261	102272	102262	102273	102262	102274	102262						
28	28	2	102281	102271	102282	102272|102273	102283	102274								
29	29	2	102291	102281|102282	102292	102282|102283										
30	30	2	102301	102291	102302	102291	102303	102292								
31	31	2	102311	102301	102312	102302	102313	102303								
32	32	2	102321	102311|102312|102313												
33	33	3	103331		103332		103333									
34	34	3	103341	103331	103342	103332	103343	103333								
35	35	3	103351	103341	103352	103341	103353	103342|103343	103354	103343						
36	36	3	103361	103351|103352	103362	103352|103353	103363	103354								
37	37	3	103371	103361	103372	103361	103373	103362	103374	103362	103375	103363				
38	38	3	103381	103371|103372	103382	103373|103374	103383	103375								
39	39	3	103391	103381	103392	103381	103393	103382	103394	103382|103383						
40	40	3	103401	103391|103392	103402	103393	103403	103394								
41	41	3	103411	103401	103412	103401	103413	103402	103414	103403						
42	42	3	103421	103411|103412	103422	103412	103423	103413	103424	103414						
43	43	3	103431	103421	103432	103422	103433	103423|103424								
44	44	3	103441	103431	103442	103431	103443	103432|103433	103444	103433						
45	45	3	103451	103441|103442	103452	103443	103453	103444								
46	46	3	103461	103451	103462	103452	103463	103453	103464	103453						
47	47	3	103471	103461|103462	103472	103463|103464										
48	48	3	103481	103471|103472												
49	49	4	104491		104492		104493		104494							
50	50	4	104501	104491	104502	104492	104503	104493	104504	104494						
51	51	4	104511	104501|104502	104512	104503	104513	104504								
52	52	4	104521	104511	104522	104511	104523	104512|104513								
53	53	4	104531	104521|104522	104532	104523	104533	104523								
54	54	4	104541	104531	104542	104531	104543	104532|104533	104544	104533						
55	55	4	104551	104541	104552	104541	104553	104542|104543	104554	104544						
56	56	4	104561	104551	104562	104552	104563	104553	104564	104553|104554						
57	57	4	104571	104561|104562	104572	104563	104573	104564								
58	58	4	104581	104571	104582	104571	104583	104572	104584	104573	104585	104573				
59	59	4	104591	104581	104592	104582|104583	104593	104584	104594	104585						
60	60	4	104601	104591|104592	104602	104592	104603	104593|104594								
61	61	4	104611	104601	104612	104601	104613	104602|104603								
62	62	4	104621	104611	104622	104612	104623	104613								
63	63	4	104631	104621|104622	104632	104623										
64	64	4	104641	104631|104632												
65	65	5	105491		105492		105493		105494							
66	66	5	105501	105491	105502	105492	105503	105493	105504	105494						
67	67	5	105511	105501	105512	105502	105513	105503	105514	105504						
68	68	5	105521	105511	105522	105512	105523	105513|105514								
69	69	5	105531	105521	105532	105522	105533	105523								
70	70	5	105541	105531	105542	105531|105532	105543	105533								
71	71	5	105551	105541	105552	105542	105553	105542	105554	105543	105555	105543				
72	72	5	105561	105551	105562	105552|105553|105554	105563	105555								
73	73	5	105571	105561	105572	105562	105573	105563								
74	74	5	105581	105571|105572	105582	105573	105583	105573								
75	75	5	105591	105581	105592	105582|105583	105593	105583								
76	76	5	105601	105591	105602	105591	105603	105592	105604	105593						
77	77	5	105611	105601	105612	105602	105613	105603	105614	105604						
78	78	5	105621	105611	105622	105612	105623	105612	105624	105613|105614						
79	79	5	105631	105621	105632	105622	105633	105623	105634	105624						
80	80	5	105641	105631|105632|105633|105634												
81	81	6	106491		106492		106493		106494							
82	82	6	106501	106491	106502	106492	106503	106493	106504	106494						
83	83	6	106511	106501	106512	106502	106513	106503|106504								
84	84	6	106521	106511	106522	106512	106523	106513								
85	85	6	106531	106521	106532	106522	106533	106523								
86	86	6	106541	106531	106542	106531	106543	106532|106533	106544	106533						
87	87	6	106551	106541	106552	106542|106543	106553	106543	106554	106544						
88	88	6	106561	106551|106552	106562	106553	106563	106553|106554								
89	89	6	106571	106561|106562	106572	106563	106573	106563								
90	90	6	106581	106571	106582	106571|106572	106583	106573								
91	91	6	106591	106581	106592	106582	106593	106582	106594	106583						
92	92	6	106601	106591	106602	106592	106603	106593	106604	106594						
93	93	6	106611	106601	106612	106602	106613	106603	106614	106604						
94	94	6	106621	106611	106622	106612	106623	106612	106624	106613|106614						
95	95	6	106631	106621	106632	106622|106623	106633	106624								
96	96	6	106641	106631|106632|106633												
97	97	7	107331		107332		107333									
98	98	7	107341	107331	107342	107331	107343	107332	107344	107333	107345	107333				
99	99	7	107351	107341	107352	107342|107343	107353	107343|107344|107345								
100	100	7	107361	107351	107362	107351	107363	107352|107353	107364	107353						
101	101	7	107371	107361	107372	107362|107363	107373	107364								
102	102	7	107381	107371|107372	107382	107372|107373	107383	107373								
103	103	7	107391	107381	107392	107382	107393	107382|107383								
104	104	7	107401	107391	107402	107391	107403	107392	107404	107393	107405	107393				
105	105	7	107411	107401	107412	107402	107413	107403	107414	107404|107405						
106	106	7	107421	107411	107422	107412	107423	107413	107424	107414						
107	107	7	107431	107421	107432	107422	107433	107423	107434	107424	107435	107424				
108	108	7	107441	107431	107442	107432	107443	107432	107444	107433|107434	107445	107435				
109	109	7	107451	107441|107442|107443	107452	107443	107453	107444|107445								
110	110	7	107461	107451	107462	107452	107463	107453	107464	107453						
111	111	7	107471	107461	107472	107462	107473	107463|107464								
112	112	7	107481	107471|107472|107473												
113	113	8	108171		108172											
114	114	8	108181	108171	108182	108172	108183	108172								
115	115	8	108191	108181	108192	108182	108193	108182	108194	108182	108195	108183				
116	116	8	108201	108191	108202	108192	108203	108193|108194|108195								
117	117	8	108211	108201	108212	108202	108213	108203								
118	118	8	108221	108211	108222	108212	108223	108213	108224	108213						
119	119	8	108231	108221|108222	108232	108223	108233	108223	108234	108224						
120	120	8	108241	108231	108242	108232	108243	108232	108244	108233	108245	108234				
121	121	8	108251	108241|108242	108252	108243|108244|108245										
122	122	8	108261	108251	108262	108251	108263	108252	108264	108252						
123	123	8	108271	108261	108272	108262	108273	108263	108274	108263|108264						
