Id	StageId	Difficulty	DifficultyDesc	RecommendAbility	AdditionDest	FinishDropId	FirstRewardId	FlopRewardId	MonsterLevel[1]	MonsterLevel[2]	MonsterLevel[3]	MonsterLevel[4]
1	20000101	1	Easy	2200	Normal rewards	201101		1	30	30	30	1
2	20000101	2	Elite	2400	Better rewards	201102		2	59	59	59	2
3	20000101	3	Nightmare	2600	Significantly better rewards	201103		3	76	76	76	3
4	20000102	1	Easy	2800	Normal rewards	201104		4	92	92	92	1
5	20000102	2	Elite	3200	Better rewards	201105		5	121	121	121	2
6	20000102	3	Nightmare	3600	Significantly better rewards	201106		6	149	149	149	3
7	20000103	1	Easy	4000	Normal rewards	201107		7	156	156	156	1
8	20000103	2	Elite	4400	Better rewards	201108		8	185	185	185	2
9	20000103	3	Nightmare	4800	Significantly better rewards	201109		9	213	213	213	3
10	20000104	1	Easy	5200	Normal rewards	201110		10	241	241	241	1
11	20000104	2	Elite	5600	Better rewards	201111		11	269	269	269	2
12	20000104	3	Nightmare	6000	Significantly better rewards	201112		12	296	296	296	3
13	20000105	1	Easy	6000	Normal rewards	201140		10	334	334	334	1
14	20000105	2	Elite	6250	Better rewards	201141		11	438	438	438	2
15	20000105	3	Nightmare	6500	Significantly better rewards	201142		12	619	619	619	3
16	30030501	1	Easy		Normal rewards				1	1	1	1
17	30030501	2	Elite		Better rewards				1	1	1	2
18	30030501	3	Nightmare		Significantly better rewards				1	1	1	3
19	20000201	1	Easy	2200	Normal rewards	201101		1	30	30	30	1
20	20000201	2	Elite	2400	Better rewards	201102		2	59	59	59	2
21	20000201	3	Nightmare	2600	Significantly better rewards	201103		3	76	76	76	3
22	20000202	1	Easy	2800	Normal rewards	201104		4	92	92	92	1
23	20000202	2	Elite	3200	Better rewards	201105		5	121	121	121	2
24	20000202	3	Nightmare	3600	Significantly better rewards	201106		6	149	149	149	3
25	20000203	1	Easy	4000	Normal rewards	201107		7	156	156	156	1
26	20000203	2	Elite	4400	Better rewards	201108		8	185	185	185	2
27	20000203	3	Nightmare	4800	Significantly better rewards	201109		9	213	213	213	3
28	20000204	1	Easy	5200	Normal rewards	201110		10	241	241	241	1
29	20000204	2	Elite	5600	Better rewards	201111		11	269	269	269	2
30	20000204	3	Nightmare	6000	Significantly better rewards	201112		12	296	296	296	3
