Id	Name	ConditionIds[1]	ConditionIds[2]	Priority	SkipId	BtnContent	NpcName	NpcHandIcon	NpcHalfIcon	Contents[1]	Contents[2]	Contents[3]	Contents[4]	Contents[5]	Type	UiType
101	Story Mission	70101		1	21	I got it	Liv	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	Assets/Product/Texture/Image/RoleStory/LifuNormal01.png	Commandant, please allow me to remind you that each operation is accompanied by a variety of missions.	After completing the mission, you will receive a large number of supplies. Please make sure that you collect them in time.	This will help us acquire advanced equipment earlier, which will be useful in future operations.	Let us do so next.		1	1
102	Get Constructs, level up	70102		2	21	I got it	Liv	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	Assets/Product/Texture/Image/RoleStory/LifuNormal01.png	Commandant, thanks to everyone's hard work, I can finally rejoin the fight!	Before that, please upgrade and tune me, then assign the battle position for me.	Commandant... I can't wait to fight alongside with everyone together.			1	1
103	Improve skill	70103		3	21	I got it	Lucia	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	Assets/Product/Texture/Image/RoleStory/LuxiyaNormal01.png	Commandant, we Constructs will become more proficient at using our skills as we fight in more battles.	Please upgrade my skill level so that I can bring out its true potential.	If possible... please pay attention to my performance in the next battle.			1	1
104	Novice Mission	70104		4	21	I got it	Celica	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Assets/Product/Texture/Image/RoleStory/SailikaNomal01.png	Greetings, Commandant of the Gray Raven squad. There was something that I forgot to tell you.	Novice missions have been set for all first-timer squads in this operation. Squads can earn extra supplies by completing these goals.	I'm sure you'll have no problem clearing them. I have high hopes for you.	Good luck!		1	1
105	Promote Construct	70105		5	21	I got it	Lucia	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	Assets/Product/Texture/Image/RoleStory/LuxiyaNormal01.png	Commandant. The Constructs have their own military ranks.	It not only symbolizes honor, but raising their ranks will also increase their performance.	Complete specific missions to promote a Construct.	I look forward to bringing honor to the team, Commandant.		1	1
1	Sign-in	70001		6	21	I got it	Liv	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	Assets/Product/Texture/Image/RoleStory/LifuNormal01.png	Commandant, battles can be long and difficult. In return for your daily efforts...	Signing in will earn you supplies every day! They will help you in your journey.	The supply center has prepared a special weapon for you as your first sign-in reward.	Gray Raven will always be with you, Commandant!		1	1
2	Mission - Daily	70002		7	21	I got it	Lee	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	Assets/Product/Texture/Image/RoleStory/LiangNomal01.png	Commandant, you should have your own mission board, right?	In addition to your main missions, there are daily missions that can be completed for that day.	Don't underestimate these mission rewards!	Now, let's take a look at the mission board.		1	1
3	Research System	70003		8	21	I got it	？？？	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1.png	Assets/Product/Texture/Image/RoleStory/Yongyechaonormal01.png	Hello, Commandant of the Gray Raven squad!	Who am I? Don't you worry about that. We'll meet soon.	Now, I know what you're thinking...	You want more Constructs to join your squad, right?	Try out this R&D Ticket. Consider it a gift!	1	1
111	Main Quest Guide	70106		9	21	I got it	Lucia	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	Assets/Product/Texture/Image/RoleStory/LuxiyaNormal01.png	As battles get more difficult, we need to ensure a steady flow of supplies.	Keep it up and complete your major missions.	This will ensure that we have enough resources as our enemies get tougher.	Let's strive for humanity together, Commandant.		1	1
106	Daily - Character EXP	70111		10	21	I got it	Liv	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	Assets/Product/Texture/Image/RoleStory/LifuNormal01.png	Outside of main missions, you can also have your Constructs take part in training programs.	Training allows us to gain experience in simulation battles.	Please remember to schedule training sessions for us in the future.			1	1
4	Normal Shop	70004		11	21	I got it	Liv	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	Assets/Product/Texture/Image/RoleStory/LifuNormal01.png	A new support squad has arrived in the region, Commandant. They are eager to meet with you.	In addition to delivering supplies, they will also trade resources with you.	Let's try trading something with them.			1	1
5	Tutorial Stage	70005		12	21	I got it	Celica	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Assets/Product/Texture/Image/RoleStory/SailikaNomal01.png	Hello, Commandant! How are you getting along with the Constructs of Gray Raven?	What's that? Still feel like you don't know much about them?	Don't worry, I have a tutorial for you to help you understand them.	And here are some Black Cards to reward you for mastering it all.	So, please familiarize yourself with the abilities of the Constructs!	1	1
107	Skill Stage	70107		13	21	I got it	Liv	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	Assets/Product/Texture/Image/RoleStory/LifuNormal01.png	Commandant, are you running into skill point shortage issues when trying to upgrade Construct skills?	Battle Exercises are a great way to get more skill points.	Try it out if you need them.			1	1
108	Coin Stage	70108		14	21	I got it	Liv	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	Assets/Product/Texture/Image/RoleStory/LifuNormal01.png	These cogs contain an important material used in our Construct frames.	A lot of cogs are required to extract enough materials to upgrade our frames.	Cogs can be found in many places, especially in Cogs Galore.			1	1
