Id	Desc	Param[1]	Param[2]	Param[3]	Param[4]	Param[5]	Param[6]	Param[7]	Param[8]	Param[9]	Param[10]
100001	Novice Stage 1										
100002	Novice Stage 2										
100003	Novice Stage 3										
50000	Guide to 1-1	2	10010101	1							
50101	Claim Mission 1-2 reward	3	101								
50102	Equip your 1st Memory	1									
50103	Equipment your 2nd Memory	1									
50201	Claim reward: Liv	12	10010103								
50202	Guide to upgrade Liv	1									
50203	Guide to deploy Liv	1									
50301	Lucia Red Orb upgrade	1									
50401	Guide to Novice Mission	1									
50501	Guide to Promote	1									
50602	Equip 4★ katana	1									
50603	Enhance 4★ katana	1									
50701	Daily, Story Mission	1									
50800	Give player R&D Tickets	1									
50801	Unlock Research and research Research Nanami	1									
50802	Upgrade Nanami	1									
50803	Deploy Nanami	1									
50901	Return to Main Quest Guide	1									
50931	Daily	1									
51001	Learn about Shop and currency	1									
51101	Learn about Tutorial Stage	1									
51201	Learn about Skill Stage	1									
51301	Learn about Coin Stage	1									
51401	Learn about equipment EXP	1									
51501	Learn about equipment Overclock	1									
51601	Learn about Trial Quest	1									
51701	Learn about Hard Mode	1									
51801	Guide to Blitz	1									
51901	Guide to high-rank equipment stage	1									
52001	Guide to Construct details	1									
52031	Test Area	1									
52101	Learn about Construct collection	1									
52201	Join Co-op Boss	1									
52301	Use Assist	1									
52401	Guide to Side Story	1									
52501	Learn about outfits	1									
52601	Guide to Bounty Mission	1									
52701	Learn about Dormitory	1									
52702	Dormitory 2	1									
52703	Dormitory 3	1									
52704	Dormitory 4	1									
52705	Dormitory 5	1									
52706	Dormitory 6	1									
52731	Guild System Guide	1									
52801	Guide to Arena	1									
52901	Guide to Solo Boss	1									
52931	Medal Guide	1									
52961	Autopoiesis Maze Guide	1									
52991	Resource Shop Guide	1									
53001	Guide to Exploration	1									
53101	Guide to Stronghold	1									
200001		1									
