Id	Priority	Ignore	Desc	GuideType	ConditionId[1]	ConditionId[2]	CompleteId	ActiveUi	RewardId	GroupId
100001	1	0	Novice Stage 1	2	850000		100001	UiMain	0	1
100002	2	0	Novice Stage 2	2	850000		100002	UiMain	0	1
100003	3	0	Novice Stage 3	2	850000		100003	UiMain	0	1
50000	50000	0	Guide to 1-1	1	850000		50000	UiMain	0	50000
50101	50101	0	Claim Mission 1-2 reward	1	850101		50101	UiMain	0	50101
50102	50102	0	Equip your 1st Memory	1	850102		50102	UiMain	0	50101
50103	50103	0	Equipment your 2nd Memory	1	850103		50103	UiEquipAwarenessReplace|UiMain	0	50101
50201	50201	0	Claim reward: Liv	1	850201		50201	UiMain	0	50201
50202	50202	0	Guide to upgrade Liv	1	850202		50202	UiMain	0	50201
50203	50203	0	Guide to deploy Liv	1	850203		50203	UiMain	0	50201
50301	50301	0	Lucia Red Orb upgrade	1	850301		50301	UiMain	0	50301
50401	50401	0	Guide to Novice Mission	1	850401		50401	UiMain	0	50401
50501	50501	0	Guide to Promote	1	850501		50501	UiMain	0	50501
50602	50602	0	Equip 4★ katana	1	850602		50602	UiMain	0	50602
50603	50603	0	Upgrade 4★ katana	1	850603		50603	UiEquipReplaceNew|UiMain	0	50602
50701	50701	0	Daily Story Mission	1	850701		50701	UiMain	0	50701
50800	50800	0	Unlock Research to get R&D Tickets	1	850800		50800	UiMain	1300	50800
50801	50801	0	Research Nanami	1	850801		50801	UiMain|UiDrawMain	0	50801
50803	50803	0	Deploy Nanami	1	850803		50803	UiNewRoomSingle	0	50801
50901	50901	0	Return to Main Quest Guide	1	850901		50901	UiMain	0	50901
50931	50931	0	Daily	1	850931		50931	UiMain	0	50931
51001	51001	0	Learn about Shop and currency	1	851001		51001	UiMain	0	51001
51101	51101	0	Learn about Tutorial Stage	1	851101		51101	UiMain	0	51101
51201	51201	0	Learn about Skill Stage	1	851201		51201	UiMain	0	51201
51301	51301	0	Learn about Coin Stage	1	851301		51301	UiMain	0	51301
51401	51401	0	Learn about equipment EXP	1	851401		51401	UiMain	0	51401
51501	51501	0	Learn about equipment Overclock	1	851501		51501	UiMain	0	51501
51601	51601	0	Learn about Trial Quest	1	851601		51601	UiMain	0	51601
51701	51701	0	Guide to Hard	1	851701		51701	UiMain	0	51701
51801	51801	1	(Abandoned) Guide to Blitz	1	851801		51801	UiMain	0	51801
51901	51901	0	Guide to high-rank equipment stage	1	851901		51901	UiMain	0	51901
52001	52001	0	Guide to Construct details	1	852001		52001	UiMain	0	52001
52031	52031	0	Guide to Test Area	1	852031		52031	UiMain	0	52031
52101	52101	0	Learn about Construct collection	1	852101		52101	UiMain	0	52101
52301	52301	0	Use Assist	1	852301		52301	UiMain	0	52301
52401	52401	0	Guide to Side Story	1	852401		52401	UiMain	0	52401
52501	52501	0	Learn about outfits	1	852501		52501	UiMain	0	52501
52601	52601	0	Guide to Bounty Mission	1	852601		52601	UiMain	0	52601
52701	52701	0	Learn about Dormitory and open Image Guide	1	852701		52701	UiMain	0	52701
52731	500000	0	Guild System Guide	1	852731		52731	UiMain	0	52731
52801	52801	0	Guide to Arena	1	852801		52801	UiMain	0	52801
52901	52901	0	Guide to Solo Boss	1	852901		52901	UiMain	0	52901
52931	52931	0	Guide to Medals	1	852931		52931	UiMain	0	52931
52961	52961	0	Autopoiesis Maze Guide	1	852961		52961	UiMain|UiTask|UiPlayerUp	0	52961
52991	52991	0	Resource Shop Guide	1	852991		52991	UiMain|UiFubenDaily	0	52991
52201	53100	1	(Abandoned) Join Co-op Boss	1	852201		52201	UiMain	0	52201
53101	53101	0	Guide to Stronghold	1	771500		53101	UiMain	0	53101
53001	53102	0	Guide to Exploration	1	774300		53001	UiMain	0	53001
200001	200001	0		1	900000001		200001	UiDrawMain	0	200001
