Id	GuildLevel	GiftLevel	GiftReward	GiftIcon	GiftContribute
1	1	1	360000	Assets/Product/Texture/Image/IconTools/ItWeaponPreview01.png	1200
2	1	2	360001	Assets/Product/Texture/Image/IconTools/ItWeaponPreview02.png	2400
3	1	3	360002	Assets/Product/Texture/Image/IconTools/ItWeaponPreview03.png	3600
4	2	1	360003	Assets/Product/Texture/Image/IconTools/ItWeaponPreview01.png	1610
5	2	2	360004	Assets/Product/Texture/Image/IconTools/ItWeaponPreview02.png	3220
6	2	3	360005	Assets/Product/Texture/Image/IconTools/ItWeaponPreview03.png	4830
7	3	1	360006	Assets/Product/Texture/Image/IconTools/ItWeaponPreview01.png	2080
8	3	2	360007	Assets/Product/Texture/Image/IconTools/ItWeaponPreview02.png	4160
9	3	3	360008	Assets/Product/Texture/Image/IconTools/ItWeaponPreview03.png	6240
10	4	1	360009	Assets/Product/Texture/Image/IconTools/ItWeaponPreview01.png	2520
11	4	2	360010	Assets/Product/Texture/Image/IconTools/ItWeaponPreview02.png	5040
12	4	3	360011	Assets/Product/Texture/Image/IconTools/ItWeaponPreview03.png	7560
13	5	1	360012	Assets/Product/Texture/Image/IconTools/ItWeaponPreview01.png	3000
14	5	2	360013	Assets/Product/Texture/Image/IconTools/ItWeaponPreview02.png	6000
15	5	3	360014	Assets/Product/Texture/Image/IconTools/ItWeaponPreview03.png	9000
