Id	Type	IsInit	GroupId	Name	ImgSrc	LockDesc	ConvertItemId	ConvertItemCount	Description	WorldDesc	Effect	Priority	LimitType	BeginTimeStr	EndTimeStr	ShowTimeStr	Duration	IsRepetition
9000001	1	1		Gray Raven	Assets/Product/Texture/Image/RolePlayerSp/RolePlayer01.png	Default Portrait	1	10000	Player Portrait	One of the default portraits.		1	0					
9000002	1	1		Repairer	Assets/Product/Texture/Image/RolePlayerSp/RolePlayer02.png	Default Portrait	1	10000	Player Portrait	One of the default portraits.		2	0					
9000003	1	1		Tag	Assets/Product/Texture/Image/RolePlayerSp/RolePlayer03.png	Default Portrait	1	10000	Player Portrait	One of the default portraits.		3	0					
9010101	1			Portrait - Lotus	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadluxiya5.png	Available after Ultima Awakening the Construct	1	10000	Player Portrait	The final developed form of Ultima Awakened Constructs after countless battles.		4	0					
9010102	1			Portrait - Dawn	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadluxiya5S.png	Available after Ultima Awakening the Construct	1	10000	Player Portrait	The final developed form of Ultima Awakened Constructs after countless battles.		5	0					
9010103	1			Portrait - Crimson Abyss	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadluxiyaaerfa5SS.png	Available after Ultima Awakening the Construct	1	10000	Player Portrait	The final developed form of Ultima Awakened Constructs after countless battles.		6	0					
9010104	1			Portrait - Plume	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadR4Luxiya5.png	Available after Ultima Awakening the Construct	1	10000	Player Portrait	The final developed form of Ultima Awakened Constructs after countless battles.		7	0					
9010201	1			Portrait - Eclipse	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadLifu5.png	Available after Ultima Awakening the Construct	1	10000	Player Portrait	The final developed form of Ultima Awakened Constructs after countless battles.		8	0					
9010202	1			Portrait - Lux	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadLifu5S.png	Available after Ultima Awakening the Construct	1	10000	Player Portrait	The final developed form of Ultima Awakened Constructs after countless battles.		9	0					
9010203	1			Portrait - Luminance	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadLifu5SS.png	Available after Ultima Awakening the Construct	1	10000	Player Portrait	The final developed form of Ultima Awakened Constructs after countless battles.		10	0					
