Id	Times	GainCount	ConsumeId[0]	ConsumeId[1]	ConsumeCount[0]	ConsumeCount[1]
1	1	3	3	31	10	1
2	2	4	3	31	20	1
3	4	5	3	31	40	1
4	6	6	3	31	80	1
5	8	7	3	31	160	1
6	10	8	3	31	320	1
7	16	10	3	31	480	1
101	1	60	3	31	30	1
102	2	65	3	31	40	1
103	3	70	3	31	50	1
104	4	75	3	31	60	1
105	5	80	3	31	70	1
106	6	85	3	31	80	1
107	7	90	3	31	90	1
108	8	95	3	31	100	1
109	9	100	3	31	110	1
110	10	105	3	31	120	1
12	1	1	3	31	1	1
13	1	1	3	31	1	1
14	1	1	3	31	1	1
15	1	1	3	31	1	1
16	1	1	3	31	1	1
17	1	1	3	31	1	1
201	1	50	3	31	50	1
400000	1	10	3		50	
