Id	Name	Description	WorldDesc	BigIcon	Icon	ItemType	Quality	Priority	MaxCount	GridCount	TimelinessType	StartTime	Duration	RecycleRewardId	RecycleByMail	SellForId	SellForCount	RecType	RecTime	RecCount	SuitId	SkipIdParams[0]	SkipIdParams[1]	SkipIdParams[2]	SkipIdParams[3]	SkipIdParams[4]	SkipIdParams[5]	SubTypeParams[0]	SubTypeParams[1]	SubTypeParams[2]	SubTypeParams[3]	SubTypeParams[4]	SubTypeParams[5]	SubTypeParams[6]	SubTypeParams[7]
1	Cogs	Common material that contains important compounds.	Standard cog widely used in industrial production during the Golden Age. It became the key to Construct development when the Ta-193 copolymer that it contains was found to have extremely high biological affinity.	Assets/Product/Texture/Image/Iconcurrency/IconConsumeMoney.png	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeMoneySp.png	3	3	10																											
2	Black Card	Special card that can be exchanged for various materials.	Can be exchanged for resources in Humanity Front territory. Issued to squads as funding and managed by the Commandant.	Assets/Product/Texture/Image/Iconcurrency/IconConsumeGem.png	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeGemSp.png	3	5	10																											
3	Black Card	Special card that can be exchanged for various materials.	Can be exchanged for resources in Humanity Front territory. Issued to squads as funding and managed by the Commandant.	Assets/Product/Texture/Image/Iconcurrency/IconConsumeGem.png	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeGemSp.png	3	5	10																											
4	Serum	Required for the Commandant to enter battle.	Protects the human body from the Punishing for a certain amount of time, and supplied to Babylonia's frontline squads reguarly.	Assets/Product/Texture/Image/Iconcurrency/IconConsumeActionPoint.png	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeActionPointSp.png	1	4	10	5000									1	360	1															
5	Rainbow Card	Premium card that can be exchanged for various materials.	Premium card that can be exchanged for resources in Humanity Front territory. Managed by the Commandant.	Assets/Product/Texture/Image/IconTools/IconConsumeGem02.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeGem02Sp.png	3	5	10																											
6	Bullion	Placeholder.	Placeholder	Assets/Product/Texture/Image/IconTools/ItPointChaExp.png	Assets/Product/Texture/Image/IconToolsSp/ItPointChaExpSp.png	1	3	10	999	99																									
7	Squad EXP	Represents a squad's performance records. Accumulate EXP to increase squad rating.		Assets/Product/Texture/Image/IconTools/ItPointTeamExp001.png	Assets/Product/Texture/Image/IconToolsSp/ItPointTeamExp001Sp.png	1	3	10																											
8	Rainbow Card	Premium card that can be exchanged for various materials.	Premium card that can be exchanged for resources in Humanity Front territory. Managed by the Commandant.	Assets/Product/Texture/Image/IconTools/IconConsumeGem02.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeGem02Sp.png	3	5	10																											
9	Shard	Not in use.		Assets/Product/Texture/Image/IconTools/IconNomal.png	Assets/Product/Texture/Image/IconToolsSp/IconNomalSp.png	8	3	10	999	999																									
10	Rainbow Card	Premium card that can be exchanged for various materials.	Premium card that can be exchanged for resources in Humanity Front territory. Managed by the Commandant.	Assets/Product/Texture/Image/IconTools/IconConsumeGem02.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeGem02Sp.png	3	5	10																											
11	Friendship Point	Level of friendship with a contact.		Assets/Product/Texture/Image/IconTools/ItPointFriend001.png	Assets/Product/Texture/Image/IconToolsSp/ItPointFriend001Sp.png	1	3	10	9999																										
12	Skill Point	Data program that increases members' understanding of skills and raises their skill levels.	Chip containing skill data. Helps members improve their skills.	Assets/Product/Texture/Image/Iconcurrency/IconConsumeSP.png	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeSPSp.png	1	3	10	9999	99																									
13	Daily Activity	Activity gained from completing Daily Missions. Resets at 07:00 AM UTC daily.		Assets/Product/Texture/Image/IconTools/ItPointNewquest01.png	Assets/Product/Texture/Image/IconToolsSp/ItPointNewquest01Sp.png	1	3	10	1000																										
14	Weekly Activity	Activity gained from completing Daily Missions. Resets at 07:00 AM UTC on Monday.		Assets/Product/Texture/Image/IconTools/ItPointQuest01.png	Assets/Product/Texture/Image/IconToolsSp/ItPointQuest01Sp.png	1	3	10	5000									3	1#25200	-9999															
15	Particle	Generated by the Dormitory power plant.		Assets/Product/Texture/Image/IconTools/ItBatI010010.png	Assets/Product/Texture/Image/IconToolsSp/ItBatI010010Sp.png	1	3	10																											
16	Material	Currency for Dormitory Decor.	Materials obtained from recycling. Can be remade into various useful items.	Assets/Product/Texture/Image/IconTools/ItExpI100010.png	Assets/Product/Texture/Image/IconToolsSp/ItExpI100010Sp.png	1	3	10																											
17	Scavenger MK-II	Increases reward in Co-op.	Robot developed by Babylonia. Able to survive exposure to the Punishing for brief periods of time, it can help find useful materials on the battlefield.	Assets/Product/Texture/Image/Iconcurrency/IconConsumeJunkman.png	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeJunkmanSp.png	1	3	10	21	21								3	1#25200	21															
18	Bounty EXP	Increases Bounty level.	Special reward that increases Bounty level. Complete different missions to get different bonuses. "Aim for the top." —Anonymous Construct	Assets/Product/Texture/Image/Iconcurrency/IconConsumeJunkman.png	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeJunkmanSp.png	1	3	10																											
19	Test item	Test item.	Test item	Assets/Product/Texture/Image/IconTools/IconConsumeGem02.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeGem02Sp.png	3	5	10																											
20	Current	Progress earned from completing Novice Missions.	Thank you, Commandant. - Gray Raven	Assets/Product/Texture/Image/IconTools/ItPointQuest01.png	Assets/Product/Texture/Image/IconToolsSp/ItPointQuest01Sp.png	1	3	10	1000																										
21	Fragment Shard	Unlocks Fragment stages.	Different combinations of the same shards may lead to different results. - Asimov	Assets/Product/Texture/Image/IconTools/ItBePassport01.png	Assets/Product/Texture/Image/IconToolsSp/ItBePassport01Sp.png	1	3	10	99	99								3	0#25200|3#25200	99															
22	Scavenger MK-II	Increases reward in Co-op.	Robot developed by Babylonia. Able to survive exposure to the Punishing for brief periods of time, it can help find useful materials on the battlefield.	Assets/Product/Texture/Image/Iconcurrency/IconConsumeJunkman.png	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeJunkmanSp.png	1	3	10	21	21								3	1#25200	21															
23	War Zone Influence	Currency for War Zone. Can be used in the War Shop.	Conflicts of various kinds can arise in the War Zone. Those who have influence are often in a position to determine the final outcome of these Event.	Assets/Product/Texture/Image/IconTools/IconConsumeBattle001.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeBattle001Sp.png	3	5	10	99999	99999												10000													
24	4★ Weapon Shard	Obtained from recycling 4★ weapons.	Parts obtained from recycling a 4★ weapon. Can be used to manufacture other weapons of the same grade, maximizing the use of resources.	Assets/Product/Texture/Image/IconTools/IconConsumeShopWeapon01.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeShopWeapon01Sp.png	4	4	10	99999	99999												10001													
25	5★ Weapon Shard	Obtained from recycling 5★ weapons.	Parts obtained from recycling a 5★ weapon. Can be used to manufacture other weapons of the same grade, maximizing the use of resources.	Assets/Product/Texture/Image/IconTools/IconConsumeShopWeapon02.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeShopWeapon02Sp.png	4	5	10	99999	99999												10002													
26	6★ Weapon Shard	Obtained from recycling 6★ weapons.	Parts obtained from recycling a 6★ weapon. Can be used to manufacture other weapons of the same grade, maximizing the use of resources.	Assets/Product/Texture/Image/IconTools/IconConsumeShopWeapon03.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeShopWeapon03Sp.png	4	6	10	99999	99999												10003													
