ErrCode	Msg
1	Server is not yet available
2	Registration closed
3	Registration has reached the limit
4	Login verification failed
5	Login verification connection failed
6	Invalid user ID
7	Invalid login
8	Server is not yet available, please try again later.
9	Server is full, please try again later.
10	Internal server error, please try again later.
11	Your account has been suspended for inappropriate behavior. Remaining time: %s. Suspension will be prolonged next time.
12	Your account has been suspended for inappropriate behavior. Remaining time: %s. Suspension will be prolonged to 365 days next time.
13	Invalid login
14	Invalid login
15	As your account is not the invited account for the current Pioneer Testing, you cannot enter the game. Please look forward to the next round of testing.
