Id	SendName	Title	Content	ValidTime	RewardIds[1]	RewardIds[2]	RewardIds[3]	RewardIds[4]	RewardIds[5]	RewardIds[6]	RewardIds[7]	RewardIds[8]	RewardIds[9]	RewardIds[10]	RewardIds[11]	RewardIds[12]	RewardIds[13]	RewardIds[14]	RewardIds[15]	RewardIds[16]	RewardIds[17]	RewardIds[18]	RewardIds[19]	RewardIds[20]	RewardIds[21]	RewardIds[22]
1	E-02 'Babylonia' Quartermaster	Warehouse full	Your Warehouse is full. Please clear up some space to claim your rewards.	604800																						
2	Recharge Center	Recharge reward	Recharge successful. Here is your reward.	604800																						
3	Coating	Coating converted	{0} has been automatically converted to the following.	604800																						
4	The Punishing: Gray Raven Team	Recharge pack	Thank you for participating in Consciousness Ascendant Beta III. Here is your beta recharge reward pack. Thank you for supporting Punishing: Gray Raven.	2592000	40	41	42	43																		
5	The Punishing: Gray Raven Team	Recharge rebate	Thank you for participating in Consciousness Ascendant Beta III. Here is your beta recharge rebate. Thank you for supporting Punishing: Gray Raven.	2592000																						
6	The Punishing: Gray Raven Team	Exclusive coating reward	Thank you for participating in Consciousness Ascendant Beta III. You have received a Nanami - Gray Feathers: Storm coating as token of our appreciation. Thank you for supporting Punishing: Gray Raven.	2592000	60																					
7	The Punishing: Gray Raven Team	New Commandant Reward	Welcome to Gray Raven HQ. Here is a little gift to get you started on the right foot. Thank you for supporting Punishing: Gray Raven.	2592000	100																					
8	E-02 'Babylonia' Quartermaster	Arrival supplies	Babylonia has prepared supplies for squads arriving at this area for the first time. Best of luck in battle.	2592000	101																					
9	E-02 'Babylonia' Quartermaster	Expired Items Recycle	The item {0} in your Warehouse expired. Here is your item recycle rewards.	604800																						
10	PGR Team	Refund Notification	Dear Commandant,\nWe have received your refund request. Our system will automatically deduct the Rainbow Cards from your game account to finish your refund request.\nThe deduction quantity of Rainbow Cards is equal to the RC quantity of your successful refund orders.\nThe deduction operation bases on our latest refund rules. Please contact our Customer Service if you have any question. Thanks for your understanding.	604800																						
15	「パニシング：グレイレイヴン」運営チーム	購入上限超過分のパック補填	指揮官様<br>平素より「パニシング：グレイレイヴン」へのご愛顧ありがとうございます。<br>本アプリ側の不具合で、購入回数上限が設定されたパックを上限を越えて購入可能な問題につきまして、大変ご迷惑をおかけしてしまい、誠に申し訳ございません。<br>購入上限を超過した分につきましては、パック内容を配布することが難しいため、購入価格を元に、2円＝1有償黒パスの比率で返還させていただきます。更にパックの割引幅に基づき無償黒パスの補填をさせていただきます。メール添付をご査収ください。<br>無償黒パスと有償黒パスの数量は「購入」ページの右上の「黒パス内訳」でご確認いただけます。<br><br>本件につきてご不明の点がございましたらカスタマーサポートまでご連絡をお願いいたします。<br>※連絡方法：ホーム画面左上の指揮官Lvをタップ→指揮官情報画面右下の「お問い合わせ」<br><br>今後も「パニシング：グレイレイヴン」をよろしくお願いします	2592000																						
100	The Punishing: Gray Raven Team	Construct Research Compensation	Dear Commandant, <br>Here is your research compensation from Dec 5 to Dec 17 10:00 UTC. Rewards may include Basic Construct R&D Tickets, Event Construct R&D Tickets and Black Cards. See announcements on Dec 19 and Dec 20 for details. Thank you for your understanding and support as we continue to improve Punishing: Gray Raven.	2592000																						
101	The Punishing: Gray Raven Team	Research Compensation Re-issue	Dear Commandant,<br>We found that some rewards were missing from the R&D Ticket compensation issued on Dec 30. The missing rewards have now been reissued. We apologize for the inconvenience and thank you for your understanding.<br>We wish you a happy new year!	2592000																						
102	The Punishing: Gray Raven Team	Survey reward	Thank you for participating in our survey. Your feedback is very important in helping us continue to improve Punishing: Gray Raven. Here is a token of our appreciation, and we thank you again for your support.	604800																						
103	Gray Raven Support Force	Black Card returns for revival issue	In the announcement of identified issues published on Feb 7, we announced that we would return the Black Cards to the Commandant who encountered the Black Card revival bug before the issue of the announcement at 22:30 UTC, Feb 7. Attached are the Black Cards you used to revive during this period. Thank you for your support and understanding!	604800																						
5001	空中庭園司令部	12月23日宿舎任務補填	指揮官様<br><br>2020年12月23日（水）メンテナンス後、新たに追加された宿舎任務「完全に把握」について、メンテナンス前に宿舎の全ての任務をクリアした場合、12月23日の「完全に把握」報酬を獲得できない不具合が確認されておりました。<br>上記の不具合のお詫びとして下記の補填アイテムをお受取りください。補填が遅くなりましたことをお詫び申し上げます。<br>今後、このようなことのないよう、スタッフ一同、再発防止に努めてまいります。	2592000																						
