Id	Name	Desc	ConsumeId	ConsumeCount	RewardId	MailId	MailCount	DailyRewardId	DailyRewardCount	PrePurchaseId	ConditionId[1]	ConditionId[2]	TimeToEffectStr	TimeToInvalidStr	ShelvesType	ShelvesDays	BuyLimitTimes	BuyLimitType	BuyLimitParam	Icon	IsSellOutShow	Tag	UiType	Priority	LogType	PayKeySuffix	MutexPurchaseIdStr
1	Lv.25 BC Supplies	Lv.25 BC Supplies	3	30	90001						8000		2021/7/15 7:00				1	0		UiB25			6	11000	4		
2	Lv.25 RC Supplies	Lv.25 RC Supplies	5	5	90002						8000		2021/7/15 7:00				1	0		UiG25			6	11100	3		
3	Lv.35 BC Supplies	Lv.35 BC Supplies	3	80	90003					1	8001		2021/7/15 7:00				1	0		UiB35			6	11200	4		
4	Lv.35 RC Supplies	Lv.35 RC Supplies	5	28	90004					2	8001		2021/7/15 7:00				1	0		UiG35			6	11300	3		
5	Lv.55 BC Supplies	Lv.55 BC Supplies	3	150	90005					3	900000003		2021/7/15 7:00				1	0		UiB55			6	11400	4		
6	Lv.55 RC Supplies	Lv.55 RC Supplies	5	34	90006					4	900000003		2021/7/15 7:00				1	0		UiG55			6	11500	3		
7	Lv.70 BC Supplies	Lv.70 BC Supplies	3	250	90007					5	900000004		2021/7/15 7:00				1	0		UiB70			6	11600	4		
8	Lv.70 RC Supplies	Lv.70 RC Supplies	5	59	90008					6	900000004		2021/7/15 7:00				1	0		UiG70			6	11700	3		
9	Construct 10x R&D Pack -10d	1 per day for 10 days	5	5	90009	90005	10						2021/7/15 7:00				1	0		Uio1rmb		2	5	10000	3		
10	Tiara Coating Pack	Tiara Coating Pack	5	35	90010								2021/7/15 7:00				1	0		UioLifu		1	7	30000	3		
11	Construct 10x R&D Bundle	Construct 10x R&D Bundle	5	69	90011								2021/7/15 7:00				1	0		UioCDrew		1	5	10200	3		
12	Weapon 10x R&D Bundle	Weapon 10x R&D Bundle	5	69	90012								2021/7/15 7:00				1	0		UioWDrew		1	5	10300	3		
13	Value Training Pack	1 per day for 5 days	5	99		90000	5						2019/1/1 5:00	2020/1/1 9:59			1	0		UioNUp			5	10500	3		
14	Cyberpunk Decor Set	Cyberpunk Decor Set	5	60	90013								2019/1/1 5:00	2020/1/1 9:59			1	0		UioNF			7	30200	3		
15	Weekly Limited Pack	Weekly Limited Pack			90014								2021/7/15 7:00				1	1	10001	UioWeek	1	10	6	5000			
16	Monthly Target Weapon Pack	Monthly Target Weapon Pack	5	119	90015								2021/8/3 7:00				1	1	10004	UioWDMouth	1	1	5	10700	3		
17	Monthly Event Construct Pack	Monthly Event Construct Pack	5	99	90016								2021/8/3 7:00				1	1	10004	UioCDMouth2	1	1	5	10600	3		
18	A-Rank Construct SSR Coating Black Card	1 per day for 10 days	5	68	90017	90001	10						2019/1/1 5:00	2020/1/1 9:59			1	0		UiPurchaseIconLb1	1		7	30300	3		
19	Coating Blueprint Supply	Coating Blueprint Supply	5	99	90023								2021/7/15 7:00				1	1	10004	UioPifuM	1		7	30500	3		
20	S-Rank Construct SSR Coating	S-Rank Construct SSR Coating	5	168	90018								2019/1/1 5:00	2020/1/1 9:59			1	0		UiPurchaseIconLb1	1		7	30400	3		
21	Skill Pts Daily Pack	Skill Pts Daily Pack	3	10	90019								2021/7/15 7:00				1	1	10000	UioJDay	1		6	50100	4		
