Id	SubIds[0]	SubIds[1]	SubIds[2]	SubIds[3]	SubIds[4]	SubIds[5]	SubIds[6]	SubIds[7]	SubIds[8]	SubIds[9]	SubIds[10]	SubIds[11]	SubIds[12]	SubIds[13]	SubIds[14]	SubIds[15]	SubIds[16]	SubIds[17]	SubIds[18]	SubIds[19]	SubIds[20]	SubIds[21]	SubIds[22]	SubIds[23]	SubIds[24]	SubIds[25]	SubIds[26]	SubIds[27]	SubIds[28]	SubIds[29]	SubIds[30]	SubIds[31]	SubIds[32]	SubIds[33]	SubIds[34]	SubIds[35]	SubIds[36]	SubIds[37]	SubIds[38]	SubIds[39]	SubIds[40]	SubIds[41]	SubIds[42]	SubIds[43]	SubIds[44]	SubIds[45]	SubIds[46]	SubIds[47]	SubIds[48]	SubIds[49]	SubIds[50]	SubIds[51]	SubIds[52]	SubIds[53]	SubIds[54]	SubIds[55]
1	10	11																																																						
2	12																																																							
201	2010																																																							
202	2020																																																							
203	2030																																																							
204	2040																																																							
205	2050																																																							
206	2060																																																							
208	2080																																																							
209	2090																																																							
210	2100																																																							
2001	2010																																																							
2002	2020																																																							
2003	2030																																																							
2004	2080																																																							
2005	2090																																																							
2006	2100																																																							
2007	2100																																																							
2008	2010																																																							
2009	2020																																																							
2010	2030																																																							
2011	2040																																																							
2012	2050																																																							
2013	2060																																																							
2014	2060																																																							
2015	2010																																																							
2016	2020																																																							
2017	2030																																																							
2018	2040																																																							
2019	2050																																																							
2020	2060																																																							
2021	2060																																																							
2022	2010																																																							
2023	2020																																																							
2024	2030																																																							
2025	2040																																																							
2026	2050																																																							
2027	2060																																																							
2028	2060																																																							
2029	2010																																																							
2030	2020																																																							
2031	2030																																																							
2032	2040																																																							
2033	2050																																																							
2034	2060																																																							
2035	2060																																																							
2036	2010																																																							
2037	2020																																																							
2038	2030																																																							
2039	2040																																																							
2040	2050																																																							
2041	2060																																																							
2042	2060																																																							
2043	2010																																																							
2044	2020																																																							
2045	2030																																																							
2046	2040																																																							
2047	2050																																																							
2048	2060																																																							
2049	2060																																																							
2101	2010																																																							
2102	2020																																																							
2103	2030																																																							
2104	2080	21042																																																						
2105	2090	21052																																																						
2106	2100	21062																																																						
2107	2100	21072																																																						
2108	2010																																																							
2109	2020																																																							
2110	2030																																																							
2111	2040	21113																																																						
2112	2050	21123																																																						
2113	2060	21133																																																						
2114	2060	21143																																																						
2115	2010																																																							
2116	2020																																																							
2117	2030																																																							
2118	2040	21183																																																						
2119	2050	21193																																																						
2120	2060	21203																																																						
2121	2060	21213																																																						
2122	2010																																																							
2123	2020																																																							
2124	2030																																																							
2125	2040	21253																																																						
2126	2050	21263																																																						
2127	2060	21273																																																						
2128	2060	21283																																																						
2129	2010																																																							
2130	2020																																																							
2131	2030																																																							
2132	2040	21323																																																						
2133	2050	21333																																																						
2134	2060	21343																																																						
2135	2060	21353																																																						
2136	2010																																																							
2137	2020																																																							
2138	2030																																																							
2139	2040	21393																																																						
2140	2050	21403																																																						
2141	2060	21413																																																						
2142	2060	21423																																																						
2143	2010																																																							
2144	2020																																																							
2145	2030																																																							
2146	2040	21463																																																						
2147	2050	21473																																																						
2148	2060	21483																																																						
2149	2060	21493																																																						
2201	2010																																																							
2202	2020																																																							
2203	2030																																																							
2204	2080	22041	22042	21042																																																				
2205	2090	22051	22052	21052																																																				
2206	2100	22061	22062	21062																																																				
2207	2100	22071	22072	21072																																																				
2208	2010																																																							
2209	2020																																																							
2210	2030																																																							
2211	2040	22111	22113	21113																																																				
2212	2050	22121	22123	21123																																																				
2213	2060	22131	22133	21133																																																				
2214	2060	22141	22143	21143																																																				
2215	2010																																																							
2216	2020																																																							
2217	2030																																																							
2218	2040	22181	22183	21183																																																				
2219	2050	22191	22193	21193																																																				
2220	2060	22201	22203	21203																																																				
2221	2060	22211	22213	21213																																																				
2222	2010																																																							
2223	2020																																																							
2224	2030																																																							
2225	2040	22251	22253	21253																																																				
2226	2050	22261	22263	21263																																																				
2227	2060	22271	22273	21273																																																				
2228	2060	22281	22283	21283																																																				
2229	2010																																																							
2230	2020																																																							
2231	2030																																																							
2232	2040	22321	22323	21323																																																				
2233	2050	22331	22333	21333																																																				
2234	2060	22341	22343	21343																																																				
2235	2060	22351	22353	21353																																																				
2236	2010																																																							
2237	2020																																																							
2238	2030																																																							
2239	2040	22391	22393	21393																																																				
2240	2050	22401	22403	21403																																																				
2241	2060	22411	22413	21413																																																				
2242	2060	22421	22423	21423																																																				
2243	2010																																																							
2244	2020																																																							
2245	2030																																																							
2246	2040	22461	22463	21463																																																				
2247	2050	22471	22473	21473																																																				
2248	2060	22481	22483	21483																																																				
2249	2060	22491	22493	21493																																																				
2301	2010																																																							
2302	2020																																																							
2303	2030																																																							
2304	2080	23041	23042	23043	23044	22041	22042	21042																																																
2305	2090	23051	23052	23053	23054	22051	22052	21052																																																
2306	2100	23061	23062	23063	23064	22061	22062	21062																																																
2307	2100	23071	23072	23073	23074	22071	22072	21072																																																
2308	2010																																																							
2309	2020																																																							
2310	2030																																																							
2311	2040	22111	22113	21113																																																				
2312	2050	23121	23123	23125	23127	22121	22123	21123																																																
2313	2060	23131	23133	23135	23137	22131	22133	21133																																																
2314	2060	23141	23143	23145	23147	22141	22143	21143																																																
2315	2010																																																							
2316	2020																																																							
2317	2030																																																							
2318	2040	22181	22183	21183																																																				
2319	2050	23191	23193	23195	23197	22191	22193	21193																																																
2320	2060	23201	23203	23205	23207	22201	22203	21203																																																
2321	2060	23211	23213	23215	23217	22211	22213	21213																																																
2322	2010																																																							
2323	2020																																																							
2324	2030																																																							
2325	2040	22251	22253	21253																																																				
2326	2050	23261	23263	23265	23267	22261	22263	21263																																																
2327	2060	23271	23273	23275	23277	22271	22273	21273																																																
2328	2060	23281	23283	23285	23287	22281	22283	21283																																																
2329	2010																																																							
2330	2020																																																							
2331	2030																																																							
2332	2040	22321	22323	21323																																																				
2333	2050	23331	23333	23335	23337	22331	22333	21333																																																
2334	2060	23341	23343	23345	23347	22341	22343	21343																																																
2335	2060	23351	23353	23355	23357	22351	22353	21353																																																
2336	2010																																																							
2337	2020																																																							
2338	2030																																																							
2339	2040	22391	22393	21393																																																				
2340	2050	23401	23403	23405	23407	22401	22403	21403																																																
2341	2060	23411	23413	23415	23417	22411	22413	21413																																																
2342	2060	23421	23423	23425	23427	22421	22423	21423																																																
2343	2010																																																							
2344	2020																																																							
2345	2030																																																							
2346	2040	22461	22463	21463																																																				
2347	2050	23471	23473	23475	23477	22471	22473	21473																																																
2348	2060	23481	23483	23485	23487	22481	22483	21483																																																
2349	2060	23491	23493	23495	23497	22491	22493	21493																																																
2401	2010																																																							
2402	2020																																																							
2403	2030																																																							
2404	2080	24041	24042	24043	24044	23041	23042	23043	23044	22041	22042	21042																																												
2405	2090	24051	24052	24053	24054	23051	23052	23043	23044	22051	22052	21052																																												
2406	2100	24061	24062	24063	24064	23061	23062	23043	23044	22061	22062	21062																																												
2407	2100	24071	24072	24073	24074	23071	23072	23043	23044	22071	22072	21072																																												
2408	2010																																																							
2409	2020																																																							
2410	2030																																																							
2411	2040	24111	24113	22111	22113	21113																																																		
2412	2050	24121	24123	24125	24127	23121	23123	23125	23127	22121	22123	21123																																												
2413	2060	24131	24133	24135	24137	23131	23133	23135	23137	22131	22133	21133																																												
2414	2060	24141	24143	24145	24147	23141	23143	23145	23147	22141	22143	21143																																												
2415	2010																																																							
2416	2020																																																							
2417	2030																																																							
2418	2040	24181	24183	22181	22183	21183																																																		
2419	2050	24191	24193	24195	24197	23191	23193	23195	23197	22191	22193	21193																																												
2420	2060	24201	24203	24205	24207	23201	23203	23205	23207	22201	22203	21203																																												
2421	2060	24211	24213	24215	24217	23211	23213	23215	23217	22211	22213	21213																																												
2422	2010																																																							
2423	2020																																																							
2424	2030																																																							
2425	2040	24251	24253	22251	22253	21253																																																		
2426	2050	24261	24263	24265	24267	23261	23263	23265	23267	22261	22263	21263																																												
2427	2060	24271	24273	24275	24277	23271	23273	23275	23277	22271	22273	21273																																												
2428	2060	24281	24283	24285	24287	23281	23283	23285	23287	22281	22283	21283																																												
2429	2010																																																							
2430	2020																																																							
2431	2030																																																							
2432	2040	24321	24323	22321	22323	21323																																																		
2433	2050	24331	24333	24335	24337	23331	23333	23335	23337	22331	22333	21333																																												
2434	2060	24341	24343	24345	24347	23341	23343	23345	23347	22341	22343	21343																																												
2435	2060	24351	24353	24355	24357	23351	23353	23355	23357	22351	22353	21353																																												
2436	2010																																																							
2437	2020																																																							
2438	2030																																																							
2439	2040	24391	24393	22391	22393	21393																																																		
2440	2050	24401	24403	24405	24407	23401	23403	23405	23407	22401	22403	21403																																												
2441	2060	24411	24413	24415	24417	23411	23413	23415	23417	22411	22413	21413																																												
2442	2060	24421	24423	24425	24427	23421	23423	23425	23427	22421	22423	21423																																												
2443	2010																																																							
2444	2020																																																							
2445	2030																																																							
2446	2040	24461	24463	22461	22463	21463																																																		
2447	2050	24471	24473	24475	24477	23471	23473	23475	23477	22471	22473	21473																																												
2448	2060	24481	24483	24485	24487	23481	23483	23485	23487	22481	22483	21483																																												
2449	2060	24491	24493	24495	24497	23491	23493	23495	23497	22491	22493	21493																																												
501	5010																																																							
502	5020																																																							
503	5030																																																							
504	5040																																																							
505	5050																																																							
506	5060																																																							
507	5070																																																							
508	5080																																																							
512	5120																																																							
513	5130																																																							
801	8010																																																							
802	8020																																																							
803	8030																																																							
804	8040																																																							
805	8050																																																							
806	8060																																																							
810	8100																																																							
811	8110																																																							
812	8120																																																							
813	8130																																																							
814	8140																																																							
1001	10010	10011																																																						
1002	10020	10021																																																						
1003	10033	10030	10031																																																					
1004	10043	10040	10041																																																					
1005	10053	10050	10051																																																					
1008	10080	10081																																																						
1010	10100	10101																																																						
1011	10110	10111																																																						
1101	11010																																																							
1102	11020																																																							
1103	11030																																																							
1104	11040																																																							
1105	11050																																																							
1106	11060																																																							
1107	11070																																																							
1108	11080																																																							
1109	11090																																																							
1110	11100																																																							
1120	11200																																																							
1121	11210																																																							
1122	11220	11221																																																						
1123	11230	11231																																																						
1124	11240																																																							
1125	11250	11251	11252	11253	11254	11255	11256	11257	11258	11259	11260	11261	11262	11263	11264	11265																																								
1128	11280																																																							
1127	11270																																																							
1130	11300	11301	11302	11303	11305	11306																																																		
1131	11310	11311	11312	11313	11314																																																			
1132	11321	11322	11323	11324	11325	11326	11327	11328	11330	11331	11332	11333	11334	11335	11336	11337																																								
1134	11340	11341	11342	11343	11344	11345	11346	11347	11348	11349	11350	11351	11352	11353	11354	11355	11356	11357	11358																																					
1136	11360	11361	11362	11363	11364	11365	11366	11367	11368	11369	11370	11371	11372	11373	11374	11375	11376	11377	11378																																					
1138	11340	11341	11342	11343	11344	11345	11346	11347	11348	11349	11350	11351	11352	11353	11354	11355	11356	11357	11358																																					
1139	11390	11391	11392	11393	11394	11395	11396																																																	
1140	11400	11401	11402																																																					
1142	11420	11421	11422	11423	11424	11425	11426	11427	11428	11429	11430	11431	11432	11433	11434	11435	11436	11437																																						
1144	11440	11441	11442	11443	11444	11445	11446	11447	11448	11449	11450	11451	11452	11453	11454	11455	11456	11457																																						
1146	11460	11461	11462	11463	11464	11465	11466	11467	11468	11469	11470	11471	11472	11473	11474	11475	11476	11477																																						
1149	11490	11491	11492	11493																																																				
1150	11500	11501	11502	11503	11504																																																			
1151	11510	11511	11512																																																					
1152	11520	11521	11522	11523	11524	11525																																																		
1154	11540	11541	11542	11543	11544	11545	11546	11547	11548	11549	11550	11551	11552	11553	11554	11555	11556	11557	11558	11559	11560	11561	11562																																	
1160	11600	11601	11602	11603	11604	11605	11606	11607	11608	11609	11610	11611	11612	11613	11614	11615	11616	11617	11618	11619	11620	11621	11622																																	
1170	11540	11541	11542	11543	11544	11545	11546	11547	11548	11549	11550	11551	11552	11553	11554	11555	11556	11557	11558	11559	11560	11561	11562																																	
1171	11710	11711	11712	11713	11714	11715	11716	11717	11718	11719	11720																																													
1173	11730	11731	11732																																																					
1201	12010																																																							
1202	12020																																																							
1203	12030																																																							
1204	12040																																																							
1205	12050																																																							
1206	12060																																																							
1207	12070																																																							
1300	13000																																																							
5000	50000																																																							
5001	50010																																																							
5002	50020																																																							
5003	50030																																																							
5004	50040																																																							
5005	50050																																																							
5006	50060																																																							
5007	50070																																																							
5008	50080																																																							
5009	50090																																																							
5010	50100																																																							
5011	50110																																																							
5012	50120																																																							
5013	50130																																																							
5014	50140																																																							
5015	50150																																																							
5016	50160																																																							
5017	50170																																																							
5018	50180																																																							
5019	50190																																																							
5020	50200																																																							
5021	50210																																																							
5022	50220																																																							
5023	50230																																																							
5024	50240																																																							
5025	50250																																																							
5026	50260																																																							
5027	50270																																																							
5500	55000																																																							
5501	55010																																																							
5502	55020																																																							
5503	55030																																																							
5504	55040																																																							
5505	55050																																																							
5506	55060																																																							
5507	55070																																																							
5508	55080																																																							
5509	55090																																																							
5510	55100																																																							
5511	55110																																																							
5512	55120																																																							
5513	55130																																																							
6000	60001	60002	60000																																																					
6001	60011	60012	60010																																																					
6002	60021	60022	60020																																																					
6003	60031	60032	60030																																																					
6004	60041	60042	60040																																																					
6005	60051	60052	60050																																																					
6006	60061	60062	60060																																																					
6007	60071	60072	60070																																																					
6008	60081	60082	60080																																																					
6009	60091	60092	60090																																																					
6010	60101	60102	60100																																																					
6011	60111	60112	60110																																																					
6012	60121	60122	60120																																																					
6013	60131	60132	60130																																																					
6014	60141	60142	60140																																																					
7000	70000																																																							
7001	70010																																																							
7002	70020																																																							
7003	70030																																																							
7004	70040																																																							
7005	70050																																																							
7006	70060																																																							
7100	71000																																																							
7101	71010																																																							
7102	71020																																																							
7103	71030																																																							
7104	71040																																																							
7105	71050																																																							
7106	71060																																																							
7110	71100																																																							
7111	71110																																																							
7112	71120																																																							
7113	71130																																																							
7114	71140																																																							
7115	71150																																																							
7116	71160																																																							
7120	71200																																																							
7121	71210																																																							
7122	71220																																																							
7123	71230																																																							
7124	71240																																																							
7125	71250																																																							
7126	71260																																																							
7130	71300																																																							
7131	71310																																																							
7132	71320																																																							
7133	71330																																																							
7134	71340																																																							
7135	71350																																																							
7136	71360																																																							
7140	71400																																																							
7141	71410																																																							
7142	71420																																																							
7143	71430																																																							
7144	71440																																																							
7145	71450																																																							
7146	71460																																																							
10000	1000000																																																							
10001	100010	100011																																																						
10002	100023	100020																																																						
10003	100033	100030																																																						
10004	100040	100041																																																						
10005	100050	100051																																																						
10006	100060	100061																																																						
10007	100070	100071																																																						
10008	100080	100081																																																						
10009	100090	100091																																																						
10010	100100	100101																																																						
10011	100110	100111																																																						
10012	100120	100121																																																						
10013	100130	100131																																																						
10014	100140	100141																																																						
10015	100150	100151																																																						
10016	100160	100161																																																						
10017	100170	100171																																																						
10018	100180	100181																																																						
10019	100192	100190	100191																																																					
10020	100201																																																							
10021	100211																																																							
70101	701010																																																							
70102	701020																																																							
70103	701030																																																							
70104	701040																																																							
70105	701050																																																							
70106	701060																																																							
70107	701070																																																							
70201	702010																																																							
70202	702020																																																							
70203	702030																																																							
70204	702040																																																							
70205	702050																																																							
70206	702060																																																							
70207	702070																																																							
99999	1000000	1000002	1000003																																																					
100000	1000000	1000001	1000001																																																					
100001	1000000	1000011	1000011																																																					
100002	1000000	1000021	1000022																																																					
100003	1000000	1000031	1000032																																																					
100004	1000000	1000041	1000041																																																					
100005	1000000	1000051	1000051																																																					
100006	1000000	1000061	1000061																																																					
100007	1000000	1000071	1000071																																																					
100008	1000000	1000081	1000081																																																					
100009	1000000	1000091	1000091																																																					
100010	1000000	1000101	1000101																																																					
100011	1000000	1000111	1000112																																																					
100012	1000000	1000121	1000121																																																					
