Id	TemplateId	Count	Params[0]	Params[1]	Params[2]
10	2025001	1	1	0	
11	6210106	1			
12	2994001	1	1	0	
2010	1	100			
2020	1	200			
2030	1	400			
2040	27	50			
2050	28	50			
2060	29	50			
2080	24	150			
2090	25	150			
2100	26	150			
5010	501	1			
5020	502	1			
5030	503	1			
5040	504	1			
5050	505	1			
5060	506	1			
5070	507	1			
5080	508	1			
5120	512	1			
5130	513	1			
8010	31	1			
8020	31	2			
8030	31	3			
8040	31	4			
8050	31	5			
8060	31	10			
8100	1	1000			
10010	1	1000			
10011	12	1			
10012	12	1			
10020	1	1000			
10021	12	1			
10030	1	2000			
10031	12	2			
10032	12	5			
10033	3	5			
10040	1	3000			
10041	12	2			
10043	3	10			
10050	1	5000			
10051	12	3			
10052	12	1			
10053	3	15			
10080	2992001	1	1	0	
10081	3912001	4	1	0	
10100	1	50000			
10101	3	20			
10110	1	50000			
10111	3	30			
11010	1	10000			
11020	1	20000			
11030	1	50000			
11040	1	100000			
11050	1	200000			
11060	4	30			
11070	4	60			
11080	4	120			
11090	4	180			
11100	4	240			
11200	3016005	1	1	0	
11210	3026005	1	1	0	
11220	3036005	1	1	0	
11221	3046005	1	1	0	
11230	3056001	1	1	0	
11231	3066001	1	1	0	
11240	2026003	1	1	0	
11250	8030001	1			
11251	8030002	1			
11252	8030003	1			
11253	8030004	1			
11254	8030005	1			
11255	8030006	1			
11256	8030007	1			
11257	8030008	1			
11258	8030009	1			
11259	8030010	1			
11260	8030011	1			
11261	8030012	1			
11262	8030013	1			
11263	8030014	1			
11264	8030015	1			
11265	8030016	1			
11270	9090002	1			
11280	6310304	1			
11300	1011002	1	1	2	1
11301	1021002	1	1	2	1
11302	1031002	1	1	2	1
11303	1041002	1	1	2	1
11305	1071002	1	1	2	1
11306	1081002	1	1	2	1
11310	1011003	1	1	3	1
11311	1031003	1	1	3	1
11312	1061003	1	1	3	1
11313	1071003	1	1	3	1
11314	1051003	1	1	3	1
11321	6110104	1			
11322	6810104	1			
11323	6610304	1			
11324	6110304	1			
11325	6710305	1			
11326	6710104	1			
11327	6710304	1			
11328	6410104	1			
11329	6610104	1			
11330	6210204	1			
11331	6110305	1			
11332	6210105	1			
11333	6310105	1			
11334	6310204	1			
11335	6210205	1			
11336	6510304	1			
11337	6510305	1			
11340	2116	1			
11341	2117	1			
11342	2118	1			
11343	2119	1			
11344	2120	1			
11345	2121	1			
11346	2122	1			
11347	2123	1			
11348	2124	1			
11349	2125	1			
11350	2126	1			
11351	2127	1			
11352	2128	1			
11353	2129	1			
11354	2130	1			
11355	2131	1			
11356	2132	1			
11357	2133	1			
11358	2134	1			
11360	8050002	1			
11361	8050003	1			
11362	8050004	1			
11363	8050005	1			
11364	8050006	1			
11365	8050007	1			
11366	8050008	1			
11367	8050009	1			
11368	8050010	1			
11369	8050011	1			
11370	8050012	1			
11371	8050013	1			
11372	8050014	1			
11373	8050015	1			
11374	8050016	1			
11375	8050017	1			
11376	8050018	1			
11377	8050019	1			
11378	8050020	1			
11390	1011002	1	1	2	1
11391	1021002	1	1	2	1
11392	1031002	1	1	2	1
11393	1041002	1	1	2	1
11394	1061002	1	1	2	1
11395	1071002	1	1	2	1
11396	1081002	1	1	2	1
11400	1021001	1	1	1	1
11401	1031001	1	1	1	1
11402	1051001	1	1	1	1
11490	1011002	1			
11491	1061002	1			
11492	1081002	1			
11493	1081003	1			
11500	1041002	1			
11501	1071002	1			
11502	1021002	1			
11503	1031002	1			
11504	1091002	1			
11510	40603	1			
11511	40606	1			
11512	40607	1			
11520	40601	1			
11521	40602	1			
11522	40604	1			
11523	40605	1			
11524	40608	1			
11525	40609	1			
12010	3035004	1	1	0	
12020	3065004	1	1	0	
12030	3015004	1	1	0	
12040	3045004	1	1	0	
12050	3025008	1	1	0	
12060	3055008	1	1	0	
12070	2055001	1	1	0	
13000	50000	250			
21042	40103	2			
21052	40103	4			
21062	40103	5			
21072	40103	5			
21113	40104	1			
21123	40104	2			
21133	40104	2			
21143	40104	2			
21183	40104	1			
21193	40104	2			
21203	40104	2			
21213	40104	2			
21253	40104	1			
21263	40104	2			
21273	40104	2			
21283	40104	2			
21323	40104	1			
21333	40104	2			
21343	40104	2			
21353	40104	2			
21393	40104	1			
21403	40104	2			
21413	40104	2			
21423	40104	2			
21463	40104	1			
21473	40104	2			
21483	40104	2			
21493	40104	2			
22041	40100	2			
22042	40103	2			
22051	40100	4			
22052	40103	4			
22061	40100	5			
22062	40103	5			
22071	40100	5			
22072	40103	5			
22111	40100	1			
22113	40104	1			
22121	40100	2			
22123	40104	2			
22131	40100	2			
22133	40104	2			
22141	40100	2			
22143	40104	2			
22181	40100	1			
22183	40104	1			
22191	40100	2			
22193	40104	2			
22201	40100	2			
22203	40104	2			
22211	40100	2			
22213	40104	2			
22251	40100	1			
22253	40104	1			
22261	40100	2			
22263	40104	2			
22271	40100	2			
22273	40104	2			
22281	40100	2			
22283	40104	2			
22321	40100	1			
22323	40104	1			
22331	40100	2			
22333	40104	2			
22341	40100	2			
22343	40104	2			
22351	40100	2			
22353	40104	2			
22391	40100	1			
22393	40104	1			
22401	40100	2			
22403	40104	2			
22411	40100	2			
22413	40104	2			
22421	40100	2			
22423	40104	2			
22461	40100	1			
22463	40104	1			
22471	40100	2			
22473	40104	2			
22481	40100	2			
22483	40104	2			
22491	40100	2			
22493	40104	2			
23041	40110	1			
23042	40113	1			
23043	40100	1			
23044	40103	1			
23051	40110	2			
23052	40113	2			
23053	40100	2			
23054	40103	2			
23061	40110	4			
23062	40113	4			
23063	40100	4			
23064	40103	4			
23071	40110	4			
23072	40113	4			
23073	40100	4			
23074	40103	4			
23121	40110	1			
23123	40114	1			
23125	40100	1			
23127	40104	1			
23131	40110	2			
23133	40114	2			
23135	40100	2			
23137	40104	2			
23141	40110	2			
23143	40114	2			
23145	40100	2			
23147	40104	2			
23191	40110	1			
23193	40114	1			
23195	40100	1			
23197	40104	1			
23201	40110	2			
23203	40114	2			
23205	40100	2			
23207	40104	2			
23211	40110	2			
23213	40114	2			
23215	40100	2			
23217	40104	2			
23261	40110	1			
23263	40114	1			
23265	40100	1			
23267	40104	1			
23271	40110	2			
23273	40114	2			
23275	40100	2			
23277	40104	2			
23281	40110	2			
23283	40114	2			
23285	40100	2			
23287	40104	2			
23331	40110	1			
23333	40114	1			
23335	40100	1			
23337	40104	1			
23341	40110	2			
23343	40114	2			
23345	40100	2			
23347	40104	2			
23351	40110	2			
23353	40114	2			
23355	40100	2			
23357	40104	2			
23401	40110	1			
23403	40114	1			
23405	40100	1			
23407	40104	1			
23411	40110	2			
23413	40114	2			
23415	40100	2			
23417	40104	2			
23421	40110	2			
23423	40114	2			
23425	40100	2			
23427	40104	2			
23471	40110	1			
23473	40114	1			
23475	40100	1			
23477	40104	1			
23481	40110	2			
23483	40114	2			
23485	40100	2			
23487	40104	2			
23491	40110	2			
23493	40114	2			
23495	40100	2			
23497	40104	2			
24041	40110	2			
24042	40113	2			
24043	40100	1			
24044	40103	1			
24051	40110	5			
24052	40113	5			
24053	40100	2			
24054	40103	2			
24061	40110	7			
24062	40113	7			
24063	40100	4			
24064	40103	4			
24071	40110	7			
24072	40113	7			
24073	40100	4			
24074	40103	4			
24111	40110	1			
24113	40114	1			
24121	40110	2			
24123	40114	2			
24125	40100	1			
24127	40104	1			
24131	40110	3			
24133	40114	3			
24135	40100	2			
24137	40104	2			
24141	40110	3			
24143	40114	3			
24145	40100	2			
24147	40104	2			
24181	40110	1			
24183	40114	1			
24191	40110	2			
24193	40114	2			
24195	40100	1			
24197	40104	1			
24201	40110	3			
24203	40114	3			
24205	40100	2			
24207	40104	2			
24211	40110	3			
24213	40114	3			
24215	40100	2			
24217	40104	2			
24251	40110	1			
24253	40114	1			
24261	40110	2			
24263	40114	2			
24265	40100	1			
24267	40104	1			
24271	40110	3			
24273	40114	3			
24275	40100	2			
24277	40104	2			
24281	40110	3			
24283	40114	3			
24285	40100	2			
24287	40104	2			
24321	40110	1			
24323	40114	1			
24331	40110	2			
24333	40114	2			
24335	40100	1			
24337	40104	1			
24341	40110	3			
24343	40114	3			
24345	40100	2			
24347	40104	2			
24351	40110	3			
24353	40114	3			
24355	40100	2			
24357	40104	2			
24391	40110	1			
24393	40114	1			
24401	40110	2			
24403	40114	2			
24405	40100	1			
24407	40104	1			
24411	40110	3			
24413	40114	3			
24415	40100	2			
24417	40104	2			
24421	40110	3			
24423	40114	3			
24425	40100	2			
24427	40104	2			
24461	40110	1			
24463	40114	1			
24471	40110	2			
24473	40114	2			
24475	40100	1			
24477	40104	1			
24481	40110	3			
24483	40114	3			
24485	40100	2			
24487	40104	2			
24491	40110	3			
24493	40114	3			
24495	40100	2			
24497	40104	2			
30010	3	300			
30011	1	10000			
30012	2994001	3	1	0	
30020	3	300			
30021	1	10000			
30022	2994001	3	1	0	
30030	3	300			
30031	1	10000			
30032	2994001	3	1	0	
30040	3	300			
30041	1	10000			
30042	2994001	3	1	0	
30110	3933001	1	1	0	
30120	3943001	1	1	0	
30130	3953001	1	1	0	
30140	3963001	1	1	0	
30150	3913001	1	1	0	
30160	3923001	1	1	0	
30170	3933001	1	1	0	
30180	3943001	1	1	0	
30190	3953001	1	1	0	
30210	3963001	1	1	0	
30220	3913001	1	1	0	
30230	3923001	1	1	0	
30240	3933001	1	1	0	
30310	3943001	1	1	0	
30320	3953001	1	1	0	
30400	3963001	1	1	0	
30510	3913001	1	1	0	
30520	3923001	1	1	0	
30530	3933001	1	1	0	
30540	3943001	1	1	0	
30550	3953001	1	1	0	
30560	3963001	1	1	0	
30570	3913001	1	1	0	
30580	3923001	1	1	0	
30590	3933001	1	1	0	
30610	3943001	1	1	0	
30620	3953001	1	1	0	
30630	3963001	1	1	0	
30640	3913001	1	1	0	
30650	3923001	1	1	0	
30660	3933001	1	1	0	
30670	3943001	1	1	0	
30680	3953001	1	1	0	
30690	3963001	1	1	0	
30710	3913001	1	1	0	
30720	3923001	1	1	0	
30730	3933001	1	1	0	
30740	3943001	1	1	0	
30810	3953001	1	1	0	
30820	3963001	1	1	0	
30910	3913001	1	1	0	
30920	3923001	1	1	0	
30930	3933001	1	1	0	
30940	3943001	1	1	0	
30950	3953001	1	1	0	
30960	3963001	1	1	0	
30970	3913001	1	1	0	
30980	3923001	1	1	0	
30990	3933001	1	1	0	
31010	3943001	1	1	0	
31020	3953001	1	1	0	
31030	3963001	1	1	0	
31040	3913001	1	1	0	
31050	3923001	1	1	0	
31060	3933001	1	1	0	
31070	3943001	1	1	0	
31080	3953001	1	1	0	
31090	3963001	1	1	0	
31110	3913001	1	1	0	
31120	3923001	1	1	0	
31130	3933001	1	1	0	
31140	3943001	1	1	0	
31210	3953001	1	1	0	
31220	3963001	1	1	0	
31310	3913001	1	1	0	
31320	3923001	1	1	0	
31330	3933001	1	1	0	
31340	3943001	1	1	0	
31350	3953001	1	1	0	
31360	3963001	1	1	0	
31370	3913001	1	1	0	
31380	3923001	1	1	0	
31390	3933001	1	1	0	
31410	3943001	1	1	0	
31420	3953001	1	1	0	
31430	3963001	1	1	0	
31440	3913001	1	1	0	
31450	3923001	1	1	0	
31460	3933001	1	1	0	
31470	3943001	1	1	0	
31480	3953001	1	1	0	
31490	3963001	1	1	0	
31510	3913001	1	1	0	
31520	3923001	1	1	0	
31530	3933001	1	1	0	
31540	3943001	1	1	0	
31610	3953001	1	1	0	
31620	3963001	1	1	0	
31710	3913001	1	1	0	
31720	3923001	1	1	0	
31730	3933001	1	1	0	
31740	3943001	1	1	0	
31750	3953001	1	1	0	
31760	3963001	1	1	0	
31770	3913001	1	1	0	
31780	3923001	1	1	0	
31790	3933001	1	1	0	
31810	3943001	1	1	0	
31820	3953001	1	1	0	
31830	3963001	1	1	0	
31840	3913001	1	1	0	
31850	3923001	1	1	0	
31860	3933001	1	1	0	
31870	3943001	1	1	0	
31880	3953001	1	1	0	
31890	3963001	1	1	0	
31910	3913001	1	1	0	
31920	3923001	1	1	0	
31930	3933001	1	1	0	
31940	3943001	1	1	0	
32010	3953001	1	1	0	
32020	3963001	1	1	0	
