Id	Type	ActivityId	BeginTimeStr	EndTimeStr	ExtraParams[0]	ExtraParams[1]	Priority	Condition	InitQuality	QualityConditions[0]	Qualities[0]	QualityConditions[1]	Qualities[1]	QualityConditions[2]	Qualities[2]	Name	MainDesc	WorldDesc	Hint[1]	Hint[2]	Hint[3]	GetDesc	ShowType	ShowScore	ShowQualityUpTip	Medal3D	MedalImg	MedalIcon
13000001	5						2	850004	3							Vassago Toy	Collectible	Nanami made this toy based on the fierce Vassago after Gray Raven defeated it. Kamui always found new ways to play it.				Unlocks after clearing Main Story 4-12	1				Assets/Product/Texture/Image/UiCollection/Iconcollection004.png	
13000100	5						3	850005	4							Reunion	Collectible	A display stand with Cottie's image printed on it, and a symbol of Commandant's reunion with the Syndicute and their leader Cottie. "I'm back, Cottie."				Clear Memory Rescue "Aife" to receive	1				Assets/Product/Texture/Image/UiCollection/Iconcollection002.png	
13000300	3						5		5							Area Controller	Collectible	This controller monitors the number of areas cleared and is a symbol of total control within the areas. It is issued to the commandants who have demonstrated outstanding capabilities.				Clear any Border Pact area without rebooting to receive	1	1			Assets/Product/Texture/Image/UiCollection/Iconcollection006.png	
13000400	4						6		2	84700102	3	84700103	4	84700104	5	Honor Support Certificate	Collectible	The certificate issued by Babylonia Field HQ to honor the collaboration effort and spirit of unity. It can be upgraded to different levels.	· Help others clear 10 stages to upgrade it to blue	· Help others clear 50 stages to upgrade it to purple	· Help others clear 200 stages to upgrade it to orange	Help others to clear 1 Joint Warfare stage to receive	1				Assets/Product/Texture/Image/UiCollection/Iconcollection001.png	
13000500	5						4	850009	5							Contest	Collectible	A large map that marks all the strongholds cleared. It is a symbol of the outstanding performance across various battlefields, as well as a wrap-up of the enormous effort made in those difficult battles.				Complete Stronghold Chapter 12	1				Assets/Product/Texture/Image/UiCollection/Iconcollection003.png	
13005001	999						7		2	850001	3	850002	4	850003	5	Crimson Love	Collectible	Constructs give this rare collectible to their Commandant on May 20th. It carries special meanings.	· Gain 3 [Crimson Love] to upgrade it to blue	· Gain 6 [Crimson Love] to upgrade it to purple	· Gain 10 [Crimson Love] to upgrade it to orange	Converted from [Crimson Love]			1		Assets/Product/Texture/Image/UiCollection/Iconcollection007.png	
13005100	5						8	850006	3	850007	4	850008	5			Osiris Badge	Collectible	A badge with Osiris printed on it to commemorate the incredible effort made to defeat him. Displays different colors as it levels up. Reserved for those who have survived the Doomsday Judgment. A testament to the epic battle against the Eye of Punishment and Eye of Judgment.	· Clear Osiris Overclock - Elite to upgrade it to purple	· Clear Osiris Overclock - Nightmare to upgrade it to orange		Clear Co-op [event] Osiris Overclock to receive			1		Assets/Product/Texture/Image/UiCollection/Iconcollection005.png	
13005101	5						9	850020	2	850013	3	850014	4	850015	5	Gabriel Badge	Collectible	A badge with Gabriel printed on it to commemorate the incredible effort made to defeat him. Displays different colors as it levels up.	· Clear Gabriel Overclock - Easy to upgrade it to blue	· Clear Gabriel Overclock - Elite to upgrade it to purple	· Clear Gabriel Overclock - Nightmare to upgrade it to orange	Clear Co-op [event] Gabriel in Berserk or higher difficulty to receive					Assets/Product/Texture/Image/UiCollection/Iconcollection012.png	
13005200	999						10		5							Phosphor Bronze Medal	Collectible	This honor is awarded to the commandants who have made it to the top. The counter will update every time a new medal is won. Forged with phosphor bronze, it is a symbol of battle-tested strength and techniques.				Awarded to top 5%-10% players when Phalanx results are tallied		1			Assets/Product/Texture/Image/UiCollection/Iconcollection008.png	
13005201	999						11		5							Silver-coated Medal	Collectible	This medal is only awarded to the top-ranking Commandants, and is a symbol of outstanding strength and techniques. The counter will update every time a new medal is won. The perfectly blended silver and white colors make it a piece of art.				Awarded to top 1%-5% players when Phalanx results are tallied		1			Assets/Product/Texture/Image/UiCollection/Iconcollection009.png	
13005202	999						12		5							Gold-coated Medal	Collectible	This honor is only awarded to the best of the best Commandants. The counter will update every time a new medal is won. The golden coating and carving represent unrivalled strength and techniques.				Awarded to top 1% players when Phalanx results are tallied		1			Assets/Product/Texture/Image/UiCollection/Iconcollection010.png	
13005300	2	3	2022/1/26 2:00	2022/3/2 1:59			15		2	850010	3	850011	4	850012	5	Theme Park Tower Badge	Collectible	A badge obtained from Project Babel: Theme Park. Rewarded to Commandants who have succeeded in an in-depth simulation of Project Babel tactical operation phase 3. A testament to an unforgettable experience.	· Complete Babel Tower mission [Ether Tower II] to upgrade it to blue	· Complete Babel Tower mission [Ether Tower III] to upgrade it to purple	· Complete Babel Tower mission [Ether Tower IV] to upgrade it to orange	Clear Babel Tower: Theme Park to receive		1			Assets/Product/Texture/Image/UiCollection/Iconcollection011.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerIconLv1.png
13005400	999						16		5							Metal Surfboard	Collectible	A surfboard carrying summer memories. A big seller in Venus Splash Park.				Complete Challenge Missions in Operation Summer to receive					Assets/Product/Texture/Image/UiCollection/Iconcollection013.png	
13005500	7						18		2	850016	3	850017	4	850018	5	Shark-speare Figurine	Collectible	A 1:15 limited-edition Shark-speare figurine gained after "playing" with Shark-speare, with quality varying depending on the level. All it ever does is play the same nursery rhyme over and over: "Let's play and be friends! Shark-speare loves eating the Gingerbread Man!"	· Gain 11★ Reward to upgrade it to blue	· Gain 13★ Reward to upgrade it to purple	· Gain 15★ Reward to upgrade it to orange	Gain 9★ Reward in Park Parade to unlock					Assets/Product/Texture/Image/UiCollection/Iconcollection014.png	
