Id	Name	PrefabPath	Type	RoundDays[1]	SubRoundId[1]	RoundDays[2]	SubRoundId[2]	RoundDays[3]	SubRoundId[3]	RoundDays[4]	SubRoundId[4]	OpenLevel	OpenStage	PreSignId	StartTimeStr	CloseTimeStr	IsShowWhenDayOver	IsShowWhenSignOver
1	Daily Log-in	Assets/Product/Ui/ComponentPrefab/Sign/SignDaily.prefab	1	28	101									2	2019/8/8 0:00	2029/11/14 0:00	0	1
2	New Player Sign-in	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	2	7	1001	7	1002						10010203		2019/8/8 0:00	2029/11/14 0:00	0	0
5	Christmas Sign-in	Assets/Product/Ui/ComponentPrefab/Sign/SignChristmas.prefab	2	7	1003							20			2021/12/23 7:00	2022/1/7 6:59	0	0
6	Lantern Festival Sign-in	Assets/Product/Ui/ComponentPrefab/Sign/SignLanternFestival.prefab	2	7	1004							20			2020/2/6 5:00	2020/2/20 5:00	0	0
7	Spring Sign-in	Assets/Product/Ui/ComponentPrefab/Sign/SignSpringFestival.prefab	2	7	1005							20			2020/1/24 5:00	2020/2/5 23:59	0	0
8	Eternal Engine Sign-in	Assets/Product/Ui/ComponentPrefab/Sign/SignLieche.prefab	2	7	1006							20			2019/3/19 5:00	2020/4/2 5:00	0	0
9	[Nona] Sign-in	Assets/Product/Ui/ComponentPrefab/Sign/SignZhongguochuan.prefab	2	7	1007							20			2020/4/29 5:00	2020/5/13 5:00	0	0
10	[K.M.] Sign-in	Assets/Product/Ui/ComponentPrefab/Sign/SignDaduhui.prefab	2	7	1008							20			2021/12/22 2:00	2022/1/12 6:59	0	0
1000002	Fallen Star Sign-in	Assets/Product/Ui/ComponentPrefab/Sign/SignHeixing.prefab	2	7	1000002							20			2021/1/27 5:00	2021/2/10 4:59	0	0
1100003	Valentine's Day	Assets/Product/Ui/ComponentPrefab/Sign/SignValentine.prefab	2	7	1100003							20			2021/2/14 5:00	2021/2/21 4:59	0	0
1300001	[Frozen] Sign-in	Assets/Product/Ui/ComponentPrefab/Sign/SignEnjidi.prefab	2	7	1300001							20			2021/8/3 7:00	2021/8/17 6:59		
1300020	[100-day] Sign-in	Assets/Product/Ui/ComponentPrefab/Sign/SignEnHundred.prefab	2	7	1300020							20			2021/10/24 7:00	2021/11/2 6:59	0	0
1300030	[Half Anniv.] Sign-in	Assets/Product/Ui/ComponentPrefab/Sign/SignEnHalfAnniv.prefab	2	5	1300030							20			2022/1/14 7:00	2022/1/21 6:59	0	0
