Id	SignId	Pre	Round	Day	IsGrandPrix	RewardType	RewardId	DropId	ShowRewardId
1	1	1	1	1	0	1	5000		5000
2	1	2	1	2	0	1	5001		5001
3	1	3	1	3	0	1	5002		5002
4	1	4	1	4	0	1	5003		5003
5	1	5	1	5	0	1	5004		5004
6	1	6	1	6	0	1	5005		5005
7	1	7	1	7	1	1	5006		5006
8	1	8	1	8	0	1	5007		5007
9	1	9	1	9	0	1	5008		5008
10	1	10	1	10	0	1	5009		5009
11	1	11	1	11	0	1	5010		5010
12	1	12	1	12	0	1	5011		5011
13	1	13	1	13	0	1	5012		5012
14	1	14	1	14	1	1	5013		5013
15	1	15	1	15	0	1	5014		5014
16	1	16	1	16	0	1	5015		5015
17	1	17	1	17	0	1	5016		5016
18	1	18	1	18	0	1	5017		5017
19	1	19	1	19	0	1	5018		5018
20	1	20	1	20	0	1	5019		5019
21	1	21	1	21	1	1	5020		5020
22	1	22	1	22	0	1	5021		5021
23	1	23	1	23	0	1	5022		5022
24	1	24	1	24	0	1	5023		5023
25	1	25	1	25	0	1	5024		5024
26	1	26	1	26	0	1	5025		5025
27	1	27	1	27	0	1	5026		5026
28	1	28	1	28	1	1	5027		5027
29	2	1	1	1	0	1	5500		5500
30	2	2	1	2	0	1	5501		5501
31	2	3	1	3	0	1	5502		5502
32	2	4	1	4	0	1	5503		5503
33	2	5	1	5	0	1	5504		5504
34	2	6	1	6	0	1	5505		5505
35	2	7	1	7	1	1	5506		5506
36	2	1	2	1	0	1	5507		5507
37	2	2	2	2	0	1	5508		5508
38	2	3	2	3	0	1	5509		5509
39	2	4	2	4	0	1	5510		5510
40	2	5	2	5	0	1	5511		5511
41	2	6	2	6	0	1	5512		5512
42	2	7	2	7	1	1	5513		5513
43	5	1	1	1	0	1	7000		7000
44	5	2	1	2	1	1	7001		7001
45	5	3	1	3	0	1	7002		7002
46	5	4	1	4	0	1	7003		7003
47	5	5	1	5	1	1	7004		7004
48	5	6	1	6	0	1	7005		7005
49	5	7	1	7	1	1	7006		7006
50	6	1	1	1	0	1	7100		7100
51	6	2	1	2	0	1	7101		7101
52	6	3	1	3	1	1	7102		7102
53	6	4	1	4	0	1	7103		7103
54	6	5	1	5	0	1	7104		7104
55	6	6	1	6	0	1	7105		7105
56	6	7	1	7	1	1	7106		7106
57	7	1	1	1	0	1	7110		7110
58	7	2	1	2	0	1	7111		7111
59	7	3	1	3	1	1	7112		7112
60	7	4	1	4	0	1	7113		7113
61	7	5	1	5	1	1	7114		7114
62	7	6	1	6	0	1	7115		7115
63	7	7	1	7	1	1	7116		7116
64	8	1	1	1	0	1	7120		7120
65	8	2	1	2	0	1	7121		7121
66	8	3	1	3	1	1	7122		7122
67	8	4	1	4	0	1	7123		7123
68	8	5	1	5	0	1	7124		7124
69	8	6	1	6	1	1	7125		7125
70	8	7	1	7	1	1	7126		7126
71	9	1	1	1	1	1	7130		7130
72	9	2	1	2	0	1	7131		7131
73	9	3	1	3	0	1	7132		7132
74	9	4	1	4	1	1	7133		7133
75	9	5	1	5	0	1	7134		7134
76	9	6	1	6	0	1	7135		7135
77	9	7	1	7	1	1	7136		7136
78	10	1	1	1	0	1	7140		7140
79	10	2	1	2	0	1	7141		7141
80	10	3	1	3	0	1	7142		7142
81	10	4	1	4	1	1	7143		7143
82	10	5	1	5	0	1	7144		7144
83	10	6	1	6	1	1	7145		7145
84	10	7	1	7	1	1	7146		7146
85	11	1	1	1	0	1	7150		7150
86	11	2	1	2	0	1	7151		7151
87	11	3	1	3	0	1	7152		7152
88	11	4	1	4	0	1	7153		7153
89	11	5	1	5	0	1	7154		7154
90	11	6	1	6	0	1	7155		7155
91	11	7	1	7	1	1	7156		7156
92	11	1	2	1	0	1	7157		7157
93	11	2	2	2	0	1	7158		7158
94	11	3	2	3	0	1	7159		7159
95	11	4	2	4	0	1	7160		7160
96	11	5	2	5	0	1	7161		7161
97	11	6	2	6	0	1	7162		7162
98	11	7	2	7	1	1	7163		7163
1000014	1000002	1	1	1	0	1	3000026		3000026
1000015	1000002	2	1	2	0	1	3000027		3000027
1000016	1000002	3	1	3	0	1	3000028		3000028
1000017	1000002	4	1	4	0	1	3000029		3000029
1000018	1000002	5	1	5	0	1	3000030		3000030
1000019	1000002	6	1	6	0	1	3000031		3000031
1000020	1000002	7	1	7	1	1	3000032		3000032
11000010	1100003	1	1	1	0	1	2120020		2120020
11000011	1100003	2	1	2	0	1	2120021		2120021
11000012	1100003	3	1	3	0	1	2120022		2120022
11000013	1100003	4	1	4	1	1	2120023		2120023
11000014	1100003	5	1	5	0	1	2120024		2120024
11000015	1100003	6	1	6	0	1	2120025		2120025
