StageId	RewardId	ShowId	Tip	TipEn
10010101				
10010102				
10010103	300000	1031001		
10010104				
10010201	300001	2992001		
10010202			Beginner Target	N o v I c e  T a r g e t
10010203	300002	3013001		
10010204			Promote Construct	P r o m o t I o n
10010301			Sign-in	C h e c k I n
10010302			Daily Mission	D a I l y  T a s k
10010303	300003	3043001		
10010304			Research	R e s e a r c h S y s t e m
10020101			Daily Stage	D a I l y R e s o u r c e s
10020102	300006	3024004		
10020103			Shop	S h o p  S y s t e m
10020104			Tutorial	T e a c h I n g M o d e l
10020201	300007	3054004		
10020202				
10020203	300008	3014004		
10020204				
10020301	300009	3044004		
10020302				
10020303	300011	2994001		
10020304			HIDDEN	H I d d e n
10030101			Character Info	C h a r a c t e r
10030102	300012	40103		
10030103			Collection	C o l l e c t I o n 
10030104	300013	40104		
10030201				
10030202	300014	40104		
10030203			Support	S u p p o r t   S y s t e m
10030204			Side Story	B r a n c h  S t o r y
10030301	300015	30013		
10030302			Outfit	F a s h I o n
10030303	300016	40104		
10030304				
10040101	300017	3924001		
10040102			Dormitory	D o r m I t o r y
10040103	300018	2994001		
10040104				
10040201	300019	3954001		
10040202				
10040203	300020	40100		
10040204			War Zone	B a t t l e Z o n e
10040301	300021	3934001		
10040302				
10040303	300022	40100		
10040304				
10050101	300023	3964001		
10050102				
10050103	300024	40103		
10050104				
10050201	300025	30013		
10050202				
10050203	300026	2994001		
10050204			Phantom Pain Cage	P r I s o n? O f? P a in
10050301	300027	3954001		
10050302				
10050303	300028	3964001		
10050304				
10060101	300029	40110		
10060102				
10060103	300030	30014		
10060104				
10060201	300031	40110		
10060202				
10060203	300032	2994001		
10060204				
10060301	300033	40113		
10060302				
10060303	300034	40114		
10060304				
10070101	300035	40113		
10070102				
10070103	300036	30014		
10070104				
10070201	300037	40114		
10070202				
10070203	300038	3924001		
10070204				
10070301	300039	3934001		
10070302				
10070303	300040	40110		
10070304				
10080101	300041	40113		
10080102				
10080103	300042	40114		
10080104				
10080201	300043	2994001		
10080202				
10080203	300044	40110		
10080204				
10080301	300045	3944001		
10080302				
10080303	300046	40113		
10080304				
10090101				
10090102				
10090103	300051	3944001		
10090104				
10090201	300052	40110		
10090202				
10090203	300053	3944001		
10090204				
10090301	300054	40114		
10090302				
10090303	300055	3944001		
10090304				
10090401				
10100101				
10100102				
10100103	300056	3954001		
10100104				
10100201	300057	40110		
10100202				
10100203	300058	3954001		
10100204				
10100301	300059	40114		
10100302				
10100303	300060	3954001		
10100304				
10110101				
10110102				
10110103	300061	2994001		
10110104				
10110105				
10110106	300062	40110		
10110107				
10110108				
10110109	300063	3954001		
10110112				
10110113	300064	40114		
10110111				
10120101				
10120102	300065	31204		
10120103				
10120105	300066	40114		
10120109	300067	31204		
10120111				
10120112				
10120115	300068	40110		
10120122	300069	31204		
10120123				
10120124				
10120125	300070	40114		
10120126				
