Id	CharacterId	Name	Icon	StoryId	UnlockLv	ConditionDescript	SectionNumber
1	1011002	Lee: Palefire I	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	1140811	1	Affection 1	1
2	1011002	Lee: Palefire II	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	1140812	2	Affection 2	2
3	1011002	Lee: Palefire III	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	1140813	3	Affection 3	3
4	1011002	Lee: Palefire IV	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	1140814	4	Affection 4	4
5	1011002	Lee: Palefire V	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	1140815	5	Affection 5	5
6	1011002	Lee: Palefire VI	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	1140816	6	Affection 6	6
7	1021001	Lucia: Lotus I	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	1150111	1	Affection 1	1
8	1021001	Lucia: Lotus II	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	1150112	2	Affection 2	2
9	1021001	Lucia: Lotus III	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	1150113	3	Affection 3	3
10	1021001	Lucia: Lotus IV	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	1150114	4	Affection 4	4
11	1021001	Lucia: Lotus V	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	1150115	5	Affection 5	5
12	1021001	Lucia: Lotus VI	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	1150116	6	Affection 6	6
13	1031001	Liv: Eclipse I	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	1150211	1	Affection 1	1
14	1031001	Liv: Eclipse II	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	1150212	2	Affection 2	2
15	1031001	Liv: Eclipse III	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	1150213	3	Affection 3	3
16	1031001	Liv: Eclipse IV	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	1150214	4	Affection 4	4
