Id	CharacterId	Type	UnlockType	UnlockPara	Title	Content	Picture	ConditionDescript	PreviewPicture
1	1011002	1	1	2	Palefire's Secret 1	Often driven to take apart and study the things he likes.		Affection 2	
2	1011002	1	1	2	Palefire's Secret 2	He relaxes by quickly disassembling heavy firearms.		Affection 2	
3	1011002	1	1	3	Palefire's Secret 3	He is a good tailor.		Affection 3	
4	1011002	1	1	3	Palefire's Secret 4	He has studied the styles and forms of human formal wear.		Affection 3	
5	1011002	1	1	4	Palefire's Secret 5	Has mixed thoughts about being called a "brother".		Affection 4	
6	1011002	1	1	4	Palefire's Secret 6	His radar performance is second only to Liv, but he has no sense of direction.		Affection 4	
7	1011002	1	1	5	Palefire's Secret 7	Interested in human electronic entertainment, but gave it up after hearing that Kamui likes it.		Affection 5	
8	1011002	1	1	5	Palefire's Secret 8	Considers his own assembly and disassembly style academic, and Nanami's style chaotic.		Affection 5	
9	1011002	1	1	6	Palefire's Secret 9	Sometimes adds useless features to weapons, such as can openers.		Affection 6	
10	1011002	1	1	6	Palefire's Secret 10	But has never shown these new features to anyone.		Affection 6	
21	1021001	1	1	2	Lotus' Secret 1	Has many identical red scarves.		Affection 2	
22	1021001	1	1	2	Lotus' Secret 2	Tried to make lunch for the Commandant. Blew up the kitchen.		Affection 2	
23	1021001	1	1	3	Lotus' Secret 3	When wielding dual blades, her body temperature goes up in a similar way to how humans have fevers.		Affection 3	
24	1021001	1	1	3	Lotus' Secret 4	Her hair is made from composite fibers and cannot be cut by common blades.		Affection 3	
25	1021001	1	1	4	Lotus' Secret 5	She has somewhat unusual tastes.		Affection 4	
26	1021001	1	1	4	Lotus' Secret 6	When she is quiet outside of a mission, she is not thinking, just daydreaming.		Affection 4	
27	1021001	1	1	5	Lotus' Secret 7	Strangely respectful of older Constructs, such as Bianca and Watanabe.		Affection 5	
28	1021001	1	1	5	Lotus' Secret 8	Sees great potential in Liv.		Affection 5	
29	1021001	1	1	6	Lotus' Secret 9	Does not understand what Nanami is thinking.		Affection 6	
30	1021001	1	1	6	Lotus' Secret 10	Has trouble with Karenina's passionate approach.		Affection 6	
41	1031001	1	1	2	Eclipse's Secret 1	Does not like being taken care of.		Affection 2	
42	1031001	1	1	2	Eclipse's Secret 2	Has heard of Lucia before joining Gray Raven, and holds her in high regard.		Affection 2	
43	1031001	1	1	3	Eclipse's Secret 3	Knows that Lee is prone to getting lost when on his own.		Affection 3	
44	1031001	1	1	3	Eclipse's Secret 4	Gives cute names to special targets found on radar.		Affection 3	
45	1031001	1	1	4	Eclipse's Secret 5	The heavy outfit is in imitation of Lucia's style.		Affection 4	
46	1031001	1	1	4	Eclipse's Secret 6	Has spent two hours watching Lee lose his way on radar, finally heaving a sigh of relief when Lee found his way back on the right path.		Affection 4	
47	1031001	1	1	5	Eclipse's Secret 7	Constantly successful at obtaining concessions when negotiating with other teams.		Affection 5	
48	1031001	1	1	5	Eclipse's Secret 8	Her maintenance pod is to the left of Lucia's.		Affection 5	
49	1031001	1	1	6	Eclipse's Secret 9	Thought her Inver-Device were too noticeable, but changed her mind after Lucia praised its defensive uses.		Affection 6	
50	1031001	1	1	6	Eclipse's Secret 10	Quietly picks up her Levitators when they sometimes fall down after stalling.		Affection 6	
61	1041002	1	1	2	Zero's Secret 1	Her hat is tied with a hidden band and does not fall off in battle.		Affection 2	
62	1041002	1	1	2	Zero's Secret 2	Karenina makes her hair.		Affection 2	
63	1041002	1	1	3	Zero's Secret 3	Feels that her chest cushion is too thick, especially compared to Karenina's.		Affection 3	
64	1041002	1	1	3	Zero's Secret 4	Tends to lose focus when her chest button is undone.		Affection 3	
65	1041002	1	1	4	Zero's Secret 5	Sometimes slips when landing from certain height.		Affection 4	
66	1041002	1	1	4	Zero's Secret 6	The pattern of her socks reflect the cultured taste of the designer of her frame.		Affection 4	
67	1041002	1	1	5	Zero's Secret 7	Makes the sign of the cross to pray before battle.		Affection 5	
68	1041002	1	1	5	Zero's Secret 8	Has a devastating kick attack that she is reluctant to use.		Affection 5	
69	1041002	1	1	6	Zero's Secret 9	Has ranked at the top of the "Female Construct that you want to date the most" list.		Affection 6	
70	1041002	1	1	6	Zero's Secret 10	She knows nothing about the list, however.		Affection 6	
81	1051001	1	1	2	Storm's Secret 1	The special materials used to build her makes her heavier than other Constructs despite of her size.		Affection 2	
82	1051001	1	1	2	Storm's Secret 2	Has the smoothest hair among Constructs.		Affection 2	
83	1051001	1	1	3	Storm's Secret 3	Frequently claims to have encountered strange things.		Affection 3	
84	1051001	1	1	3	Storm's Secret 4	Has scanned Watanabe's bar code. Has not told anyone about the result.		Affection 3	
85	1051001	1	1	4	Storm's Secret 5	Has traveled around the world.		Affection 4	
86	1051001	1	1	4	Storm's Secret 6	Knows more about Constructs than even Lee.		Affection 4	
87	1051001	1	1	5	Storm's Secret 7	Hates nothing more than boredom.		Affection 5	
88	1051001	1	1	5	Storm's Secret 8	Reason 1 for using a chainsaw: It looks devastating.		Affection 5	
89	1051001	1	1	6	Storm's Secret 9	Reason 2 for using a chainsaw: It sounds cool.		Affection 6	
90	1051001	1	1	6	Storm's Secret 10	Reason 3 for using a chainsaw 3: Enemies seem to really hurt when cut by it.		Affection 6	
101	1061002	1	1	2	Bastion's Secret 1	His horn often hits door frames.		Affection 2	
102	1061002	1	1	2	Bastion's Secret 2	Feels like he needs to put on a little more weight to be steady on his feet when swinging his sword.		Affection 2	
103	1061002	1	1	3	Bastion's Secret 3	Likes the term "girl friend".		Affection 3	
104	1061002	1	1	3	Bastion's Secret 4	Good at video games, especially puzzle games.		Affection 3	
105	1061002	1	1	4	Bastion's Secret 5	Wanted to have video gaming capability built into his frame, but gave it up after being informed that the monitor could only be placed on his belly.		Affection 4	
