Id	Exp	FavorCharacterId[1]	FavorCharacterId[2]	FavorCharacterId[3]	FavorCharacterId[4]	FavorCharacterId[5]	FavorExp	TrustItemType
40601	30	1021001	1021002	1021003	1021004		60	1
40602	30	1031001	1031002	1031003			60	1
40603	30	1011002	1011003				60	1
40604	30	1051001	1051003				60	1
40605	30	1071002	1071003				60	1
40606	30	1061002	1061003				60	1
40607	30	1081002	1081003				60	1
40608	30	1041002	1041003				60	1
40609	30	1091002					60	1
40610	30	1111002					60	1
40611	30	1121002					60	1
40681	10							1
40682	10							1
40683	20							1
40684	20							1
40801	199							2
250004								2
